;von;bis;;
Datum:;07.10.2021;07.10.2021;;
Enthalt Z;479;479;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1305.10;97.53 %;
Auslagen;;;33.00;2.47 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;33.00;2.47 %;
19.0%;;;472.40;35.30 %;
7.0%;;;832.70;62.23 %;
Total;;;1338.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;33.00;2.73 %;
19.0%;;;397.00;32.86 %;
7.0%;;;778.29;64.41 %;
Total;;;1208.29;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;75.40;58.08 %;
7.0%;;;54.41;41.92 %;
Total;;;129.81;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;141;809.50;60.50 %;0.00
Maestro;;42;320.60;23.96 %;0.00
MasterCard;;6;60.70;4.54 %;0.00
Visa;;9;53.50;4.00 %;0.00
Visa Electron;;9;93.80;7.01 %;0.00
Total;;207;1338.10;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anja;;;319.40;24.47 %;0.00
Anna;;;107.60;8.24 %;0.00
Lora;;;631.80;48.41 %;0.00
Mik;;;246.30;18.87 %;0.00
Total;;;1305.10;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;8.60;100.00 %;
Total;;1;8.60;100.00 %;
;;;;
Tische;;;;;
Theke;;207;1338.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;333;884.20;66.08 %;;37;123.20;;296;761.00
Speisen;;80;246.00;18.38 %;;15;41.40;;65;204.60
Sonstiges;;16;207.90;15.54 %;;0;0.00;;16;207.90
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;159;453.80;33.91 %;;20;71.60;;139;382.20
Speisen;;80;246.00;18.38 %;;15;41.40;;65;204.60
Hafer;;88;234.40;17.52 %;;5;17.40;;83;217.00
Röstkaffee;;16;207.90;15.54 %;;0;0.00;;16;207.90
Kaffee;;73;159.40;11.91 %;;10;26.80;;63;132.60
Non Kaffee;;7;17.80;1.33 %;;0;0.00;;7;17.80
Decaf;;4;11.20;0.84 %;;2;7.40;;2;3.80
Summer;;2;7.60;0.57 %;;0;0.00;;2;7.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;64;217.60;16.26 %;;14;47.60;;50;170.00
Hafer Cappuccino;0;27;91.80;6.86 %;;3;10.20;;24;81.60
Cappuccino groß;0;20;84.00;6.28 %;;3;12.60;;17;71.40
Kanelbullar;0;22;70.40;5.26 %;;3;9.60;;19;60.80
Caffé Latte;0;18;64.80;4.84 %;;1;3.60;;17;61.20
Banana Bread PINE NUT;0;16;60.80;4.54 %;;1;3.80;;15;57.00
Hafer Caffè Latte;0;12;43.20;3.23 %;;2;7.20;;10;36.00
Pain au Chocolat;0;15;42.00;3.14 %;;3;8.40;;12;33.60
Hafer Flat White;0;11;41.80;3.12 %;;0;0.00;;11;41.80
Americano;0;14;39.20;2.93 %;;1;2.80;;13;36.40
Flat White;0;10;38.00;2.84 %;;1;3.80;;9;34.20
MUYU 500g;0;2;36.00;2.69 %;;0;0.00;;2;36.00
MUYU 1000g;0;1;34.00;2.54 %;;0;0.00;;1;34.00
Izuba 250g;0;3;31.63;2.36 %;;0;0.00;;3;31.63
Lucia Dias 250g;0;3;28.50;2.13 %;;0;0.00;;3;28.50
Espresso Single;0;12;26.40;1.97 %;;3;6.60;;9;19.80
Hafer Cappuccino Groß;0;6;25.20;1.88 %;;0;0.00;;6;25.20
