;von;bis;;
Datum:;10.10.2021;10.10.2021;;
Enthalt Z;482;482;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2610.70;97.03 %;
Auslagen;;;80.00;2.97 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;80.00;2.97 %;
19.0%;;;952.20;35.39 %;
7.0%;;;1658.50;61.64 %;
Total;;;2690.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;80.00;3.29 %;
19.0%;;;800.21;32.93 %;
7.0%;;;1550.05;63.78 %;
Total;;;2430.26;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;151.99;58.36 %;
7.0%;;;108.45;41.64 %;
Total;;;260.44;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;291;2690.70;100.00 %;0.00
Total;;291;2690.70;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anja;;;140.20;5.37 %;0.00
Lena P.;;;520.70;19.94 %;0.00
Lora;;;1506.70;57.71 %;0.00
Luke;;;436.10;16.70 %;0.00
Robin;;;7.00;0.27 %;0.00
Total;;;2610.70;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;291;2690.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;674;1586.20;58.95 %;;12;41.20;;662;1545.00
Speisen;;184;591.00;21.96 %;;6;17.00;;178;574.00
Sonstiges;;21;513.50;19.08 %;;0;0.00;;21;513.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;343;877.40;32.61 %;;5;17.80;;338;859.60
Speisen;;184;591.00;21.96 %;;6;17.00;;178;574.00
Hafer;;156;357.40;13.28 %;;5;17.80;;151;339.60
Equipment;;1;260.00;9.66 %;;0;0.00;;1;260.00
Kaffee;;128;257.40;9.57 %;;1;2.60;;127;254.80
Röstkaffee;;20;253.50;9.42 %;;0;0.00;;20;253.50
Non Kaffee;;42;75.40;2.80 %;;1;3.00;;41;72.40
Decaf;;3;10.20;0.38 %;;0;0.00;;3;10.20
Summer;;2;8.40;0.31 %;;0;0.00;;2;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;102;346.80;12.89 %;;3;10.20;;99;336.60
Comandante;0;1;260.00;9.66 %;;0;0.00;;1;260.00
Hafer Cappuccino;0;46;156.40;5.81 %;;1;3.40;;45;153.00
Flat White;0;35;133.00;4.94 %;;2;7.60;;33;125.40
Cappuccino groß;0;28;117.60;4.37 %;;0;0.00;;28;117.60
Kanelbullar;0;35;112.00;4.16 %;;1;3.20;;34;108.80
Banana Bread PINE NUT;0;24;91.20;3.39 %;;1;3.80;;23;87.40
Caffé Latte;0;25;90.00;3.34 %;;0;0.00;;25;90.00
ReCup ausgeben ´;0;86;86.00;3.20 %;;0;0.00;;86;86.00
Pain au Chocolat;0;27;75.60;2.81 %;;2;5.60;;25;70.00
Croissant;0;29;63.80;2.37 %;;2;4.40;;27;59.40
Hafer Cappuccino Groß;0;14;58.80;2.19 %;;2;8.40;;12;50.40
Kuchen Maple Carrot;0;12;57.60;2.14 %;;0;0.00;;12;57.60
Filterkaffee;0;21;54.60;2.03 %;;1;2.60;;20;52.00
Hafer Caffè Latte;0;14;50.40;1.87 %;;1;3.60;;13;46.80
Kakao groß;0;11;44.00;1.64 %;;0;0.00;;11;44.00
Lemon Poppy Cake;0;9;43.20;1.61 %;;0;0.00;;9;43.20
Hand Brew;0;9;41.40;1.54 %;;0;0.00;;9;41.40
Bella Vista 250g;0;3;40.50;1.51 %;;0;0.00;;3;40.50
Americano;0;14;39.20;1.46 %;;0;0.00;;14;39.20
ReCup ausgeben*;0;39;39.00;1.45 %;;0;0.00;;39;39.00
Redcurrant Cake;0;9;37.80;1.40 %;;0;0.00;;9;37.80
Caffé Latte doppelt;0;9;36.00;1.34 %;;0;0.00;;9;36.00
German Carranza 250g;0;2;35.00;1.30 %;;0;0.00;;2;35.00
Flat White auf Eis;0;8;33.60;1.25 %;;0;0.00;;8;33.60
Espresso Single;0;15;33.00;1.23 %;;0;0.00;;15;33.00
Americano groß;0;10;30.00;1.11 %;;0;0.00;;10;30.00
Cookie;0;14;28.00;1.04 %;;0;0.00;;14;28.00
Apfelschorle;0;9;27.00;1.00 %;;1;3.00;;8;24.00
Hafer Flat White;0;7;26.60;0.99 %;;0;0.00;;7;26.60
Espresso Macchiato;0;11;26.40;0.98 %;;0;0.00;;11;26.40
ReCup ausgeben;0;26;26.00;0.97 %;;0;0.00;;26;26.00
Chocolate Cake;0;8;25.60;0.95 %;;0;0.00;;8;25.60
Raspberry Cake vegan;0;8;25.60;0.95 %;;0;0.00;;8;25.60
Villa Maria 250g;0;2;25.00;0.93 %;;0;0.00;;2;25.00
ATSABE 250g;0;2;23.00;0.85 %;;0;0.00;;2;23.00
Izuba 250g;0;2;23.00;0.85 %;;0;0.00;;2;23.00
Kinder Kakao;0;7;22.40;0.83 %;;0;0.00;;7;22.40
Espresso Doppio;0;8;20.80;0.77 %;;0;0.00;;8;20.80
Brownie;0;6;19.20;0.71 %;;0;0.00;;6;19.20
MUYU 250g;0;2;19.00;0.71 %;;0;0.00;;2;19.00
Lucia Dias 250g;0;2;19.00;0.71 %;;0;0.00;;2;19.00
Green Tea;0;4;18.40;0.68 %;;0;0.00;;4;18.40
MUYU 500g;0;1;18.00;0.67 %;;0;0.00;;1;18.00
MIKOLAJ Limonade;0;4;15.20;0.56 %;;0;0.00;;4;15.20
Mr Toi 250g;0;1;14.50;0.54 %;;0;0.00;;1;14.50
Rukira  250g;0;1;13.50;0.50 %;;0;0.00;;1;13.50
Familia Aguilera 250g;0;1;12.50;0.46 %;;0;0.00;;1;12.50
Hafer Kakao groß;0;3;12.00;0.45 %;;0;0.00;;3;12.00
Quiche;0;3;11.40;0.42 %;;0;0.00;;3;11.40
M.Morales 250g;0;1;10.50;0.39 %;;0;0.00;;1;10.50
Decaf Cappuccino;0;3;10.20;0.38 %;;0;0.00;;3;10.20
Hafer Kinder Kakao;0;3;9.60;0.36 %;;0;0.00;;3;9.60
Lemon Verbena Tea;0;2;9.20;0.34 %;;0;0.00;;2;9.20
Espresso Tonic;0;2;8.40;0.31 %;;0;0.00;;2;8.40
Hafer Flat White auf Eis;0;2;8.40;0.31 %;;0;0.00;;2;8.40
Hafer Caffè Latte groß;0;2;8.00;0.30 %;;0;0.00;;2;8.00
Hafer Espresso Macchiato;0;3;7.20;0.27 %;;1;2.40;;2;4.80
Mineralwasser Sprudel;0;2;5.60;0.21 %;;0;0.00;;2;5.60
ReCup ausgeben **;0;5;5.00;0.19 %;;0;0.00;;5;5.00
Hafer Espresso Macchiato groß;0;1;3.00;0.11 %;;0;0.00;;1;3.00
Fritz Cola;0;1;3.00;0.11 %;;0;0.00;;1;3.00
Milchschaum Kids;0;7;0.00;0.00 %;;0;0.00;;7;0.00
ReCup annehmen **;0;8;-8.00;-0.30 %;;0;0.00;;8;-8.00
ReCup annehmen;0;14;-14.00;-0.52 %;;0;0.00;;14;-14.00
ReCup annehmen*;0;22;-22.00;-0.82 %;;0;0.00;;22;-22.00
