;von;bis;;
Datum:;19.10.2021;19.10.2021;;
Enthalt Z;490;490;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1280.30;99.46 %;
Auslagen;;;7.00;0.54 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;7.00;0.54 %;
19.0%;;;500.80;38.90 %;
7.0%;;;779.50;60.55 %;
Total;;;1287.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;7.00;0.61 %;
19.0%;;;420.80;36.39 %;
7.0%;;;728.58;63.01 %;
Total;;;1156.38;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;80.00;61.11 %;
7.0%;;;50.92;38.89 %;
Total;;;130.92;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;119;667.80;51.88 %;0.00
Maestro;;42;361.30;28.07 %;0.00
MasterCard;;6;42.80;3.32 %;0.00
Visa;;13;94.80;7.36 %;0.00
Visa Electron;;9;120.60;9.37 %;0.00
Total;;189;1287.30;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;96.70;7.55 %;0.00
Laura;;;13.20;1.03 %;0.00
Lena P.;;;126.10;9.85 %;0.00
Lora;;;994.00;77.64 %;0.00
Robin;;;50.30;3.93 %;0.00
Total;;;1280.30;100.00 %;0.00
;;;;
Stornos;;;;;
Änderung durch Gast;;2;7.20;100.00 %;
Total;;2;7.20;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;189;1287.30;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;303;750.60;58.31 %;;50;165.40;;253;585.20
Sonstiges;;24;333.50;25.91 %;;1;9.50;;23;324.00
Speisen;;68;203.20;15.78 %;;15;43.80;;53;159.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;140;350.60;27.24 %;;26;92.00;;114;258.60
Röstkaffee;;22;298.50;23.19 %;;1;9.50;;21;289.00
Hafer;;84;222.20;17.26 %;;10;37.00;;74;185.20
Speisen;;68;203.20;15.78 %;;15;43.80;;53;159.40
Kaffee;;64;151.00;11.73 %;;14;36.40;;50;114.60
Equipment;;2;35.00;2.72 %;;0;0.00;;2;35.00
Non Kaffee;;13;17.60;1.37 %;;0;0.00;;13;17.60
Summer;;2;9.20;0.71 %;;0;0.00;;2;9.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;53;180.20;14.00 %;;18;61.20;;35;119.00
Hafer Cappuccino;0;25;85.00;6.60 %;;4;13.60;;21;71.40
Banana Bread PINE NUT;0;18;68.40;5.31 %;;4;15.20;;14;53.20
Americano;0;23;64.40;5.00 %;;5;14.00;;18;50.40
Mr Toi 250g;0;4;58.00;4.51 %;;0;0.00;;4;58.00
Cappuccino groß;0;12;50.40;3.92 %;;2;8.40;;10;42.00
Hafer Caffè Latte;0;13;46.80;3.64 %;;2;7.20;;11;39.60
Kanelbullar;0;14;44.80;3.48 %;;2;6.40;;12;38.40
Caffé Latte;0;12;43.20;3.36 %;;1;3.60;;11;39.60
MUYU 250g;0;4;38.00;2.95 %;;1;9.50;;3;28.50
Flat White;0;10;38.00;2.95 %;;2;7.60;;8;30.40
Filterkaffee;0;14;36.40;2.83 %;;2;5.20;;12;31.20
MUYU 500g;0;2;36.00;2.80 %;;0;0.00;;2;36.00
M.Morales 250g;0;3;31.50;2.45 %;;0;0.00;;3;31.50
Hafer Flat White;0;8;30.40;2.36 %;;1;3.80;;7;26.60
Shakisso 500g;0;1;30.00;2.33 %;;0;0.00;;1;30.00
Hafer Cappuccino Groß;0;7;29.40;2.28 %;;2;8.40;;5;21.00
Tasse M;0;1;28.00;2.18 %;;0;0.00;;1;28.00
Pain au Chocolat;0;8;22.40;1.74 %;;2;5.60;;6;16.80
Cookie;0;11;22.00;1.71 %;;2;4.00;;9;18.00
Croissant;0;10;22.00;1.71 %;;4;8.80;;6;13.20
Kakao groß;0;5;20.00;1.55 %;;2;8.00;;3;12.00
Lucia Dias 250g;0;2;19.00;1.48 %;;0;0.00;;2;19.00
German Carranza 250g;0;1;17.50;1.36 %;;0;0.00;;1;17.50
ReCup ausgeben*;0;17;17.00;1.32 %;;0;0.00;;17;17.00
Caffé Latte doppelt;0;4;16.00;1.24 %;;0;0.00;;4;16.00
Brownie;0;5;16.00;1.24 %;;0;0.00;;5;16.00
Shakisso 250g;0;1;15.50;1.20 %;;0;0.00;;1;15.50
ReCup ausgeben ´;0;15;15.00;1.17 %;;0;0.00;;15;15.00
MUYU BOTTLE 365;0;1;13.50;1.05 %;;0;0.00;;1;13.50
Bella Vista 250g;0;1;13.50;1.05 %;;0;0.00;;1;13.50
Rukira  250g;0;1;13.50;1.05 %;;0;0.00;;1;13.50
Kinder Kakao;0;4;12.80;0.99 %;;1;3.20;;3;9.60
Familia Aguilera 250g;0;1;12.50;0.97 %;;0;0.00;;1;12.50
Espresso Single;0;5;11.00;0.85 %;;2;4.40;;3;6.60
Espresso Doppio;0;4;10.40;0.81 %;;0;0.00;;4;10.40
ReCup ausgeben;0;10;10.00;0.78 %;;0;0.00;;10;10.00
Green Tea;0;2;9.20;0.71 %;;0;0.00;;2;9.20
Hand Brew;0;2;9.20;0.71 %;;2;9.20;;0;0.00
Hafer Kakao groß;0;2;8.00;0.62 %;;1;4.00;;1;4.00
Quiche;0;2;7.60;0.59 %;;1;3.80;;1;3.80
MIKOLAJ Limonade;0;2;7.60;0.59 %;;0;0.00;;2;7.60
Hario V60 filter (100) 02;0;1;7.00;0.54 %;;0;0.00;;1;7.00
Hafer Kinder Kakao;0;2;6.40;0.50 %;;0;0.00;;2;6.40
Nimbus Cocktail;0;1;5.40;0.42 %;;0;0.00;;1;5.40
