;von;bis;;
Datum:;13.11.2021;13.11.2021;;
Enthalt Z;518;518;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2155.80;100.00 %;
Auslagen;;;0.00;0.00 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
19.0%;;;602.60;27.95 %;
7.0%;;;1553.20;72.05 %;
Total;;;2155.80;100.00 %;
;;;;
Umsatz (Netto);;;;;
19.0%;;;506.38;25.86 %;
7.0%;;;1451.75;74.14 %;
Total;;;1958.13;100.00 %;
;;;;
Steuern;;;;;
19.0%;;;96.22;48.68 %;
7.0%;;;101.45;51.32 %;
Total;;;197.67;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;146;887.80;41.18 %;0.00
Maestro;;69;802.00;37.20 %;0.00
MasterCard;;13;123.80;5.74 %;0.00
Mehrzweckgutschein;;10;38.20;1.77 %;0.00
Visa;;10;100.70;4.67 %;0.00
Visa Electron;;13;203.30;9.43 %;0.00
Total;;261;2155.80;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anja;;;248.40;11.52 %;0.00
Anna;;;103.40;4.80 %;0.00
Annacotta;;;890.00;41.28 %;0.00
Karo;;;453.50;21.04 %;0.00
Mik;;;460.50;21.36 %;0.00
Total;;;2155.80;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;4.20;100.00 %;
Total;;1;4.20;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;253;2155.80;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;488;1127.60;52.31 %;;45;142.80;;443;984.80
Sonstiges;;40;541.00;25.10 %;;2;68.00;;38;473.00
Speisen;;146;487.20;22.60 %;;19;62.20;;127;425.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;266;615.40;28.55 %;;33;103.80;;233;511.60
Röstkaffee;;40;541.00;25.10 %;;2;68.00;;38;473.00
Speisen;;146;487.20;22.60 %;;19;62.20;;127;425.00
Hafer;;103;288.00;13.36 %;;7;25.60;;96;262.40
Kaffee;;97;196.00;9.09 %;;4;10.40;;93;185.60
Decaf;;3;10.40;0.48 %;;0;0.00;;3;10.40
Non Kaffee;;17;9.40;0.44 %;;1;3.00;;16;6.40
Summer;;2;8.40;0.39 %;;0;0.00;;2;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;85;289.00;13.41 %;;13;44.20;;72;244.80
Hafer Cappuccino;0;50;170.00;7.89 %;;3;10.20;;47;159.80
Flat White;0;29;110.20;5.11 %;;6;22.80;;23;87.40
Kanelbullar;0;32;102.40;4.75 %;;3;9.60;;29;92.80
Cappuccino groß;0;24;100.80;4.68 %;;4;16.80;;20;84.00
Kuchen Maple Carrot;0;15;72.00;3.34 %;;4;19.20;;11;52.80
Caffé Latte;0;20;72.00;3.34 %;;5;18.00;;15;54.00
MUYU 250g;0;7;66.50;3.08 %;;0;0.00;;7;66.50
Lucia Dias 250g;0;7;66.50;3.08 %;;0;0.00;;7;66.50
Pain au Chocolat;0;22;61.60;2.86 %;;4;11.20;;18;50.40
Banana Bread PINE NUT;0;16;60.80;2.82 %;;2;7.60;;14;53.20
