;von;bis;;
Datum:;20.11.2021;20.11.2021;;
Enthalt Z;525;525;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2486.00;97.80 %;
Auslagen;;;50.00;1.97 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;6.00;0.24 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;50.00;1.97 %;
19.0%;;;816.00;32.18 %;
7.0%;;;1670.00;65.85 %;
Total;;;2536.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;50.00;2.18 %;
19.0%;;;685.75;29.86 %;
7.0%;;;1560.86;67.96 %;
Total;;;2296.61;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;130.25;54.41 %;
7.0%;;;109.14;45.59 %;
Total;;;239.39;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;177;1026.00;40.46 %;0.00
Maestro;;75;931.40;36.73 %;2.00
MasterCard;;15;149.50;5.90 %;0.00
Mehrzweckgutschein;;1;12.80;0.50 %;0.00
Visa;;17;176.90;6.98 %;0.60
Visa Electron;;19;239.40;9.44 %;3.40
Total;;304;2536.00;100.00 %;6.00
;;;;
Umsatzdetails;;;;;
Anja;;;491.60;19.77 %;0.60
Anna;;;207.70;8.35 %;0.00
Mik;;;773.10;31.10 %;3.40
Sebastian;;;1013.60;40.77 %;2.00
Total;;;2486.00;100.00 %;6.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;2.80;100.00 %;
Total;;1;2.80;100.00 %;
;;;;
Tische;;;;;
Theke;;303;2509.40;98.95 %;
Tisch 7;;1;26.60;1.05 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;594;1385.20;54.62 %;;95;292.20;;499;1093.00
Sonstiges;;45;630.20;24.85 %;;1;11.50;;44;618.70
Speisen;;155;520.60;20.53 %;;38;130.40;;117;390.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;305;731.60;28.85 %;;52;180.80;;253;550.80
Röstkaffee;;42;610.20;24.06 %;;1;11.50;;41;598.70
Speisen;;155;520.60;20.53 %;;38;130.40;;117;390.20
Hafer;;127;338.80;13.36 %;;14;49.00;;113;289.80
Kaffee;;111;225.20;8.88 %;;23;47.40;;88;177.80
Non Kaffee;;38;57.60;2.27 %;;4;7.60;;34;50.00
Decaf;;11;23.60;0.93 %;;2;7.40;;9;16.20
Gutscheine;;3;20.00;0.79 %;;0;0.00;;3;20.00
Summer;;2;8.40;0.33 %;;0;0.00;;2;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;88;299.20;11.80 %;;26;88.40;;62;210.80
Hafer Cappuccino;0;49;166.60;6.57 %;;8;27.20;;41;139.40
Cappuccino groß;0;30;126.00;4.97 %;;4;16.80;;26;109.20
Caffé Latte;0;35;126.00;4.97 %;;7;25.20;;28;100.80
Kanelbullar;0;34;108.80;4.29 %;;7;22.40;;27;86.40
Flat White;0;24;91.20;3.60 %;;10;38.00;;14;53.20
ATSABE 500g;0;4;88.00;3.47 %;;0;0.00;;4;88.00
Banana Bread PINE NUT;0;23;87.40;3.45 %;;5;19.00;;18;68.40
Americano;0;26;72.80;2.87 %;;5;14.00;;21;58.80
Lucia Dias 250g;0;7;66.50;2.62 %;;0;0.00;;7;66.50
ReCup ausgeben ´;0;66;66.00;2.60 %;;2;2.00;;64;64.00
MUYU 250g;0;6;57.00;2.25 %;;0;0.00;;6;57.00
Hafer Flat White;0;15;57.00;2.25 %;;1;3.80;;14;53.20
German Carranza 250g;0;3;52.50;2.07 %;;0;0.00;;3;52.50
Pain au Chocolat;0;18;50.40;1.99 %;;4;11.20;;14;39.20
Kakao groß;0;12;48.00;1.89 %;;1;4.00;;11;44.00
Kuchen Maple Carrot;0;10;48.00;1.89 %;;6;28.80;;4;19.20
Lemon Poppy Cake;0;10;48.00;1.89 %;;1;4.80;;9;43.20
Filterkaffee;0;17;44.20;1.74 %;;4;10.40;;13;33.80
Hafer Caffè Latte;0;11;39.60;1.56 %;;3;10.80;;8;28.80
Redcurrant Cake;0;9;37.80;1.49 %;;2;8.40;;7;29.40
Quiche;0;9;34.20;1.35 %;;2;7.60;;7;26.60
MUYU 1000g;0;1;34.00;1.34 %;;0;0.00;;1;34.00
Cookie;0;16;32.00;1.26 %;;0;0.00;;16;32.00
