;von;bis;;
Datum:;24.11.2021;24.11.2021;;
Enthalt Z;529;529;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;980.50;100.24 %;
Auslagen;;;-3.00;-0.31 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.70;0.07 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-3.00;-0.31 %;
19.0%;;;446.50;45.68 %;
7.0%;;;534.00;54.63 %;
Total;;;977.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-3.00;-0.34 %;
19.0%;;;375.21;43.06 %;
7.0%;;;499.13;57.28 %;
Total;;;871.34;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;71.29;67.15 %;
7.0%;;;34.87;32.85 %;
Total;;;106.16;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;105;467.90;47.87 %;0.00
Maestro;;31;251.20;25.70 %;0.70
MasterCard;;7;60.30;6.17 %;0.00
Mehrzweckgutschein;;2;6.40;0.65 %;0.00
Visa;;9;58.30;5.96 %;0.00
Visa Electron;;12;133.40;13.65 %;0.00
Total;;166;977.50;100.00 %;0.70
;;;;
Umsatzdetails;;;;;
Anna;;;240.40;24.52 %;0.30
Emanuel;;;0.00;0.00 %;0.00
Lora;;;424.70;43.31 %;0.40
Robin;;;315.40;32.17 %;0.00
Total;;;980.50;100.00 %;0.70
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;3.30;100.00 %;
Total;;1;3.30;100.00 %;
;;;;
Tische;;;;;
Theke;;166;977.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;249;641.80;65.66 %;;62;199.00;;187;442.80
Speisen;;59;172.00;17.60 %;;15;42.00;;44;130.00
Sonstiges;;11;163.70;16.75 %;;0;0.00;;11;163.70
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;115;316.80;32.41 %;;34;114.00;;81;202.80
Hafer;;59;186.80;19.11 %;;17;59.40;;42;127.40
Speisen;;59;172.00;17.60 %;;15;42.00;;44;130.00
Röstkaffee;;10;154.20;15.77 %;;0;0.00;;10;154.20
Kaffee;;66;113.20;11.58 %;;8;21.80;;58;91.40
Non Kaffee;;8;20.80;2.13 %;;3;3.80;;5;17.00
Equipment_;;1;9.50;0.97 %;;0;0.00;;1;9.50
Decaf;;1;4.20;0.43 %;;0;0.00;;1;4.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;33;112.20;11.48 %;;14;47.60;;19;64.60
Hafer Cappuccino;0;27;91.80;9.39 %;;11;37.40;;16;54.40
Cappuccino groß;0;16;67.20;6.87 %;;5;21.00;;11;46.20
Caffé Latte;0;18;64.80;6.63 %;;5;18.00;;13;46.80
Banana Bread PINE NUT;0;15;57.00;5.83 %;;4;15.20;;11;41.80
Filterkaffee;0;18;46.80;4.79 %;;5;13.00;;13;33.80
Flat White;0;12;45.60;4.66 %;;2;7.60;;10;38.00
MUYU 500g;0;2;36.00;3.68 %;;0;0.00;;2;36.00
Hafer Flat White;0;9;34.20;3.50 %;;2;7.60;;7;26.60
MUYU 1000g;0;1;34.00;3.48 %;;0;0.00;;1;34.00
Croissant;0;14;30.80;3.15 %;;2;4.40;;12;26.40
Hafer Cappuccino Groß;0;7;29.40;3.01 %;;2;8.40;;5;21.00
Kanelbullar;0;9;28.80;2.95 %;;3;9.60;;6;19.20
Pain au Chocolat;0;10;28.00;2.86 %;;1;2.80;;9;25.20
Rukira  250g;0;2;27.00;2.76 %;;0;0.00;;2;27.00
Espresso Doppio;0;7;18.20;1.86 %;;0;0.00;;7;18.20
Hafer Caffè Latte;0;5;18.00;1.84 %;;1;3.60;;4;14.40
Americano;0;6;16.80;1.72 %;;1;2.80;;5;14.00
Cookie;0;8;16.00;1.64 %;;5;10.00;;3;6.00
Bella Vista 250g;0;1;13.50;1.38 %;;0;0.00;;1;13.50
Familia Aguilera 250g;0;1;12.50;1.28 %;;0;0.00;;1;12.50
Americano groß;0;4;12.00;1.23 %;;2;6.00;;2;6.00
EL CARMEN Decaf 250g;0;1;11.50;1.18 %;;0;0.00;;1;11.50
Quiche;0;3;11.40;1.17 %;;0;0.00;;3;11.40
ReCup ausgeben;0;11;11.00;1.13 %;;0;0.00;;11;11.00
Espresso Single;0;5;11.00;1.13 %;;0;0.00;;5;11.00
MUYU BOTTLE 365;0;1;10.20;1.04 %;;0;0.00;;1;10.20
ReCup ausgeben ´;0;10;10.00;1.02 %;;0;0.00;;10;10.00
Kinder Kakao;0;3;9.60;0.98 %;;3;9.60;;0;0.00
MUYU 250g;0;1;9.50;0.97 %;;0;0.00;;1;9.50
Tasche SUEDHANG;0;1;9.50;0.97 %;;0;0.00;;1;9.50
Flat White auf Eis;0;2;8.40;0.86 %;;1;4.20;;1;4.20
Kakao groß;0;2;8.00;0.82 %;;2;8.00;;0;0.00
Caffé Latte doppelt;0;2;8.00;0.82 %;;0;0.00;;2;8.00
MIKOLAJ Limonade;0;2;7.60;0.78 %;;1;3.80;;1;3.80
ReCup ausgeben*;0;6;6.00;0.61 %;;0;0.00;;6;6.00
Espresso Macchiato;0;2;4.80;0.49 %;;0;0.00;;2;4.80
Black Tea;0;1;4.60;0.47 %;;0;0.00;;1;4.60
Lemon Verbena Tea;0;1;4.60;0.47 %;;0;0.00;;1;4.60
Hand Brew;0;1;4.60;0.47 %;;0;0.00;;1;4.60
Decaf Cappuccino Groß;0;1;4.20;0.43 %;;0;0.00;;1;4.20
Hafer Caffè Latte groß;0;1;4.00;0.41 %;;0;0.00;;1;4.00
Apfelschorle;0;1;3.00;0.31 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato groß;0;1;3.00;0.31 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato;0;1;2.40;0.25 %;;1;2.40;;0;0.00
ReCup ausgeben **;0;1;1.00;0.10 %;;0;0.00;;1;1.00
Milchschaum Kids;0;2;0.00;0.00 %;;2;0.00;;0;0.00
ReCup annehmen*;0;2;-2.00;-0.20 %;;0;0.00;;2;-2.00
ReCup annehmen;0;12;-12.00;-1.23 %;;0;0.00;;12;-12.00
ReCup annehmen ´;0;17;-17.00;-1.74 %;;2;-2.00;;15;-15.00
;;;;
