;von;bis;;
Datum:;11.12.2021;11.12.2021;;
Enthalt Z;546;546;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2833.70;96.62 %;
Auslagen;;;97.00;3.31 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.10;0.07 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;97.00;3.31 %;
5.0%;;;75.00;2.56 %;
19.0%;;;723.70;24.69 %;
7.0%;;;2035.00;69.44 %;
Total;;;2930.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;97.00;3.62 %;
5.0%;;;71.40;2.67 %;
19.0%;;;608.12;22.70 %;
7.0%;;;1902.07;71.01 %;
Total;;;2678.59;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;3.60;1.43 %;
19.0%;;;115.58;45.85 %;
7.0%;;;132.93;52.73 %;
Total;;;252.11;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;141;913.50;31.17 %;0.00
Maestro;;94;1222.20;41.70 %;1.10
MasterCard;;17;114.30;3.90 %;1.00
Mehrzweckgutschein;;2;0.00;0.00 %;0.00
Visa;;25;315.00;10.75 %;0.00
Visa Electron;;26;365.70;12.48 %;0.00
Total;;305;2930.70;100.00 %;2.10
;;;;
Umsatzdetails;;;;;
Anja;;;1306.80;46.12 %;0.20
Anna;;;6.60;0.23 %;0.00
Laura;;;855.90;30.20 %;1.90
Mik;;;664.40;23.45 %;0.00
Total;;;2833.70;100.00 %;2.10
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;301;2930.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Sonstiges;;98;1345.50;45.91 %;;4;40.00;;94;1305.50
Getränke;;530;1237.40;42.22 %;;31;101.20;;499;1136.20
Speisen;;108;347.80;11.87 %;;5;17.80;;103;330.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;78;1102.00;37.60 %;;4;40.00;;74;1062.00
Milchmischgetränke;;283;641.20;21.88 %;;20;63.80;;263;577.40
Hafer;;117;351.40;11.99 %;;6;21.20;;111;330.20
Speisen;;108;347.80;11.87 %;;5;17.80;;103;330.00
Equipment_;;10;168.50;5.75 %;;0;0.00;;10;168.50
Kaffee;;99;167.40;5.71 %;;4;11.60;;95;155.80
Gutscheine;;10;75.00;2.56 %;;0;0.00;;10;75.00
Non Kaffee;;21;40.80;1.39 %;;1;4.60;;20;36.20
Decaf;;6;19.80;0.68 %;;0;0.00;;6;19.80
Summer;;4;16.80;0.57 %;;0;0.00;;4;16.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;86;292.40;9.98 %;;6;20.40;;80;272.00
MUYU 250g;0;20;190.00;6.48 %;;2;19.00;;18;171.00
Hafer Cappuccino;0;41;139.40;4.76 %;;2;6.80;;39;132.60
MUYU 500g;0;6;108.00;3.69 %;;0;0.00;;6;108.00
Flat White;0;28;106.40;3.63 %;;2;7.60;;26;98.80
MUYU 1000g;0;3;102.00;3.48 %;;0;0.00;;3;102.00
Kanelbullar;0;30;96.00;3.28 %;;0;0.00;;30;96.00
Cappuccino groß;0;20;84.00;2.87 %;;0;0.00;;20;84.00
MUYU BOTTLE 365;0;6;81.00;2.76 %;;0;0.00;;6;81.00
Bella Vista 250g;0;6;81.00;2.76 %;;0;0.00;;6;81.00
BREW Buch;0;6;75.00;2.56 %;;0;0.00;;6;75.00
Villa Maria 250g;0;6;75.00;2.56 %;;0;0.00;;6;75.00
Izuba 250g;0;6;69.00;2.35 %;;0;0.00;;6;69.00
Hafer Flat White;0;18;68.40;2.33 %;;0;0.00;;18;68.40
ReCup ausgeben ´;0;68;68.00;2.32 %;;3;3.00;;65;65.00
Caffé Latte;0;18;64.80;2.21 %;;2;7.20;;16;57.60
Sanai Red 250g;0;3;64.50;2.20 %;;0;0.00;;3;64.50
Lucia Dias 250g;0;6;57.00;1.94 %;;1;9.50;;5;47.50
Hafer Cappuccino Groß;0;13;54.60;1.86 %;;0;0.00;;13;54.60
Kuchen Maple Carrot;0;11;52.80;1.80 %;;0;0.00;;11;52.80
Pain au Chocolat;0;17;47.60;1.62 %;;0;0.00;;17;47.60
Americano;0;17;47.60;1.62 %;;0;0.00;;17;47.60
ATSABE 250g;0;4;46.00;1.57 %;;1;11.50;;3;34.50
Banana Bread;0;11;41.80;1.43 %;;3;11.40;;8;30.40
5€ Gutschein;0;8;40.00;1.36 %;;0;0.00;;8;40.00
Kinto travel  Tumbler 350ml;0;1;37.00;1.26 %;;0;0.00;;1;37.00
Kakao groß;0;9;36.00;1.23 %;;3;12.00;;6;24.00
Hafer Caffè Latte;0;10;36.00;1.23 %;;4;14.40;;6;21.60
Tasse L;0;1;35.00;1.19 %;;0;0.00;;1;35.00
Lucia Dias 1000g;0;1;34.00;1.16 %;;0;0.00;;1;34.00
Croissant;0;14;30.80;1.05 %;;1;2.20;;13;28.60
Shakisso 500g;0;1;30.00;1.02 %;;0;0.00;;1;30.00
Mr Toi 250g;0;2;29.00;0.99 %;;0;0.00;;2;29.00
Bella Vista  500g;0;1;26.00;0.89 %;;0;0.00;;1;26.00
Kinder Kakao;0;8;25.60;0.87 %;;3;9.60;;5;16.00
Redcurrant Cake;0;6;25.20;0.86 %;;1;4.20;;5;21.00
25€ Gutschein;0;1;25.00;0.85 %;;0;0.00;;1;25.00
Familia Aguilera 250g;0;2;25.00;0.85 %;;0;0.00;;2;25.00
Americano groß;0;8;24.00;0.82 %;;1;3.00;;7;21.00
Espresso Doppio;0;9;23.40;0.80 %;;1;2.60;;8;20.80
Hand Brew;0;5;23.00;0.78 %;;0;0.00;;5;23.00
Izuba 500g;0;1;22.00;0.75 %;;0;0.00;;1;22.00
Cookie;0;10;20.00;0.68 %;;0;0.00;;10;20.00
Chocolate Cake;0;6;19.20;0.66 %;;0;0.00;;6;19.20
Espresso Doppio Macchiato;0;6;18.00;0.61 %;;2;6.00;;4;12.00
Lucia Dias 500g;0;1;18.00;0.61 %;;0;0.00;;1;18.00
German Carranza 250g;0;1;17.50;0.60 %;;0;0.00;;1;17.50
Espresso Tonic;0;4;16.80;0.57 %;;0;0.00;;4;16.80
Hafer Caffè Latte groß;0;4;16.00;0.55 %;;0;0.00;;4;16.00
Shakisso 250g;0;1;15.50;0.53 %;;0;0.00;;1;15.50
MIKOLAJ Limonade;0;4;15.20;0.52 %;;0;0.00;;4;15.20
ReCup ausgeben;0;15;15.00;0.51 %;;0;0.00;;15;15.00
ReCup ausgeben*;0;15;15.00;0.51 %;;0;0.00;;15;15.00
Espresso Macchiato;0;5;12.00;0.41 %;;0;0.00;;5;12.00
Buch Mönch von Mokka;0;1;12.00;0.41 %;;0;0.00;;1;12.00
Agua Iglesia 250g;0;1;11.50;0.39 %;;0;0.00;;1;11.50
Espresso Single;0;5;11.00;0.38 %;;0;0.00;;5;11.00
Decaf Caffè Latte;0;3;10.80;0.37 %;;0;0.00;;3;10.80
Filterkaffee;0;4;10.40;0.35 %;;0;0.00;;4;10.40
10€ Gutschein;0;1;10.00;0.34 %;;0;0.00;;1;10.00
Lemon Poppy Cake;0;2;9.60;0.33 %;;0;0.00;;2;9.60
Hafer Kinder Kakao;0;3;9.60;0.33 %;;0;0.00;;3;9.60
Tasche SUEDHANG;0;1;9.50;0.32 %;;0;0.00;;1;9.50
Lemon Verbena Tea;0;2;9.20;0.31 %;;1;4.60;;1;4.60
Green Tea;0;2;9.20;0.31 %;;0;0.00;;2;9.20
Hafer Kakao groß;0;2;8.00;0.27 %;;0;0.00;;2;8.00
Caffé Latte doppelt;0;2;8.00;0.27 %;;1;4.00;;1;4.00
Hafer Espresso Macchiato;0;3;7.20;0.25 %;;0;0.00;;3;7.20
Mineralwasser Still;0;2;5.60;0.19 %;;0;0.00;;2;5.60
Raw Cake;0;1;4.80;0.16 %;;0;0.00;;1;4.80
Black Tea;0;1;4.60;0.16 %;;0;0.00;;1;4.60
Hafer Flat White auf Eis;0;1;4.20;0.14 %;;0;0.00;;1;4.20
Decaf Cappuccino Groß;0;1;4.20;0.14 %;;0;0.00;;1;4.20
Decaf Flat White;0;1;3.80;0.13 %;;0;0.00;;1;3.80
Extra Shot;0;5;3.00;0.10 %;;0;0.00;;5;3.00
Apfelschorle;0;1;3.00;0.10 %;;0;0.00;;1;3.00
ReCup ausgeben* 1;0;1;1.00;0.03 %;;0;0.00;;1;1.00
Milchschaum Kids;0;3;0.00;0.00 %;;0;0.00;;3;0.00
ReCup annehmen **;0;6;-6.00;-0.20 %;;0;0.00;;6;-6.00
ReCup annehmen*;0;7;-7.00;-0.24 %;;0;0.00;;7;-7.00
ReCup annehmen;0;20;-20.00;-0.68 %;;0;0.00;;20;-20.00
ReCup annehmen ´;0;44;-44.00;-1.50 %;;0;0.00;;44;-44.00
;;;;
