;von;bis;;
Datum:;02.01.2022;02.01.2022;;
Enthalt Z;562;562;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2146.10;96.82 %;
Auslagen;;;69.00;3.11 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.40;0.06 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;69.00;3.11 %;
5.0%;;;25.00;1.13 %;
19.0%;;;737.60;33.30 %;
7.0%;;;1383.50;62.46 %;
Total;;;2215.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;69.00;3.44 %;
5.0%;;;23.80;1.19 %;
19.0%;;;619.80;30.90 %;
7.0%;;;1293.20;64.47 %;
Total;;;2005.80;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;1.20;0.57 %;
19.0%;;;117.80;56.28 %;
7.0%;;;90.30;43.14 %;
Total;;;209.30;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;190;1148.40;51.84 %;0.00
Maestro;;47;554.00;25.01 %;0.80
MasterCard;;13;142.70;6.44 %;0.00
Mehrzweckgutschein;;2;7.80;0.35 %;0.00
Visa;;17;140.20;6.33 %;0.60
Visa Electron;;19;222.00;10.02 %;0.00
Total;;288;2215.10;100.00 %;1.40
;;;;
Umsatzdetails;;;;;
Annacotta;;;1986.90;92.58 %;1.40
Karo;;;91.60;4.27 %;0.00
Laura;;;0.00;0.00 %;0.00
Lena P.;;;64.20;2.99 %;0.00
Sebastian;;;3.40;0.16 %;0.00
Total;;;2146.10;100.00 %;1.40
;;;;
Stornos;;;;;
vertippt;;1;4.90;100.00 %;
Total;;1;4.90;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;287;2215.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;705;1528.80;69.02 %;;2;6.20;;703;1522.60
Speisen;;134;430.80;19.45 %;;2;5.20;;132;425.60
Sonstiges;;18;255.50;11.53 %;;0;0.00;;18;255.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;343;750.00;33.86 %;;0;0.00;;343;750.00
Hafer;;204;492.80;22.25 %;;1;3.40;;203;489.40
Speisen;;134;430.80;19.45 %;;2;5.20;;132;425.60
Röstkaffee;;16;230.50;10.41 %;;0;0.00;;16;230.50
Kaffee;;134;224.00;10.11 %;;1;2.80;;133;221.20
Non Kaffee;;22;58.80;2.65 %;;0;0.00;;22;58.80
Equipment_;;2;25.00;1.13 %;;0;0.00;;2;25.00
Summer;;1;4.20;0.19 %;;0;0.00;;1;4.20
Decaf;;1;-1.00;-0.05 %;;0;0.00;;1;-1.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;104;353.60;15.96 %;;0;0.00;;104;353.60
Hafer Cappuccino;0;65;221.00;9.98 %;;1;3.40;;64;217.60
Flat White;0;33;125.40;5.66 %;;0;0.00;;33;125.40
Hafer Flat White;0;30;114.00;5.15 %;;0;0.00;;30;114.00
Cappuccino groß;0;23;96.60;4.36 %;;0;0.00;;23;96.60
ReCup ausgeben ´;0;89;89.00;4.02 %;;0;0.00;;89;89.00
Banana Bread;0;23;87.40;3.95 %;;0;0.00;;23;87.40
Pain au Chocolat;0;28;78.40;3.54 %;;0;0.00;;28;78.40
Kakao groß;0;18;72.00;3.25 %;;0;0.00;;18;72.00
Hafer Cappuccino Groß;0;15;63.00;2.84 %;;0;0.00;;15;63.00
Kuchen Maple Carrot;0;12;57.60;2.60 %;;0;0.00;;12;57.60
Kanelbullar;0;18;57.60;2.60 %;;1;3.20;;17;54.40
Americano groß;0;18;54.00;2.44 %;;0;0.00;;18;54.00
Hafer Caffè Latte;0;14;50.40;2.28 %;;0;0.00;;14;50.40
Americano;0;18;50.40;2.28 %;;1;2.80;;17;47.60
Chocolate Cake;0;15;48.00;2.17 %;;0;0.00;;15;48.00
ReCup ausgeben*;0;48;48.00;2.17 %;;0;0.00;;48;48.00
Croissant;0;18;39.60;1.79 %;;0;0.00;;18;39.60
ReCup ausgeben;0;36;36.00;1.63 %;;0;0.00;;36;36.00
Lucia Dias 500g;0;2;36.00;1.63 %;;0;0.00;;2;36.00
Caffé Latte doppelt;0;8;32.00;1.44 %;;0;0.00;;8;32.00
Filterkaffee;0;12;31.20;1.41 %;;0;0.00;;12;31.20
Mr Toi 250g;0;2;29.00;1.31 %;;0;0.00;;2;29.00
Caffé Latte;0;8;28.80;1.30 %;;0;0.00;;8;28.80
Lucia Dias 250g;0;3;28.50;1.29 %;;0;0.00;;3;28.50
BREW Buch;0;2;25.00;1.13 %;;0;0.00;;2;25.00
Villa Maria 500g;0;1;24.00;1.08 %;;0;0.00;;1;24.00
Lemon Poppy Cake;0;5;24.00;1.08 %;;0;0.00;;5;24.00
Lemon Verbena Tea;0;5;23.00;1.04 %;;0;0.00;;5;23.00
Izuba 250g;0;2;23.00;1.04 %;;0;0.00;;2;23.00
Cookie;0;11;22.00;0.99 %;;1;2.00;;10;20.00
Sanai Red 250g;0;1;21.50;0.97 %;;0;0.00;;1;21.50
Espresso Macchiato;0;8;19.20;0.87 %;;0;0.00;;8;19.20
German Carranza 250g;0;1;17.50;0.79 %;;0;0.00;;1;17.50
Espresso Doppio;0;6;15.60;0.70 %;;0;0.00;;6;15.60
Shakisso 250g;0;1;15.50;0.70 %;;0;0.00;;1;15.50
MIKOLAJ Limonade;0;4;15.20;0.69 %;;0;0.00;;4;15.20
Hand Brew;0;3;13.80;0.62 %;;0;0.00;;3;13.80
Bella Vista 250g;0;1;13.50;0.61 %;;0;0.00;;1;13.50
Espresso Single;0;6;13.20;0.60 %;;0;0.00;;6;13.20
Villa Maria 250g;0;1;12.50;0.56 %;;0;0.00;;1;12.50
Espresso Doppio Macchiato;0;4;12.00;0.54 %;;0;0.00;;4;12.00
Apfelschorle;0;4;12.00;0.54 %;;0;0.00;;4;12.00
Quiche;0;3;11.40;0.51 %;;0;0.00;;3;11.40
Kinder Kakao;0;3;9.60;0.43 %;;0;0.00;;3;9.60
MUYU 250g;0;1;9.50;0.43 %;;0;0.00;;1;9.50
Hafer Kakao groß;0;2;8.00;0.36 %;;0;0.00;;2;8.00
Hafer Caffè Latte groß;0;2;8.00;0.36 %;;0;0.00;;2;8.00
Hafer Kinder Kakao;0;2;6.40;0.29 %;;0;0.00;;2;6.40
Raw Cake;0;1;4.80;0.22 %;;0;0.00;;1;4.80
