;von;bis;;
Datum:;04.02.2022;04.02.2022;;
Enthalt Z;594;594;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1485.40;97.08 %;
Auslagen;;;43.00;2.81 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.60;0.10 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;43.00;2.81 %;
19.0%;;;613.60;40.15 %;
7.0%;;;871.80;57.04 %;
Total;;;1528.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;43.00;3.13 %;
19.0%;;;515.68;37.54 %;
7.0%;;;814.84;59.32 %;
Total;;;1373.52;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;97.92;63.22 %;
7.0%;;;56.96;36.78 %;
Total;;;154.88;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;166;1079.40;70.62 %;0.00
Maestro;;22;176.10;11.52 %;1.60
MasterCard;;5;52.20;3.42 %;0.00
Mehrzweckgutschein;;2;12.80;0.84 %;0.00
Visa;;7;65.10;4.26 %;0.00
Visa Electron;;18;142.80;9.34 %;0.00
Total;;220;1528.40;100.00 %;1.60
;;;;
Umsatzdetails;;;;;
Anja;;;325.60;21.92 %;0.00
Lena P.;;;661.20;44.51 %;0.00
Mik;;;450.40;30.32 %;1.60
Raquel;;;48.20;3.24 %;0.00
Total;;;1485.40;100.00 %;1.60
;;;;
Stornos;;;;;
vertippt;;8;17.40;100.00 %;
Total;;8;17.40;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;216;1528.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;382;868.80;56.84 %;;100;331.00;;282;537.80
Sonstiges;;32;444.00;29.05 %;;0;0.00;;32;444.00
Speisen;;66;215.60;14.11 %;;30;89.40;;36;126.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;169;402.20;26.32 %;;44;153.00;;125;249.20
Röstkaffee;;27;371.50;24.31 %;;0;0.00;;27;371.50
Hafer;;127;302.80;19.81 %;;34;116.20;;93;186.60
Speisen;;66;215.60;14.11 %;;30;89.40;;36;126.20
Kaffee;;68;149.00;9.75 %;;21;58.80;;47;90.20
Equipment_;;3;37.50;2.45 %;;0;0.00;;3;37.50
Gutscheine;;2;35.00;2.29 %;;0;0.00;;2;35.00
Non Kaffee;;18;14.80;0.97 %;;1;3.00;;17;11.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;57;193.80;12.68 %;;30;102.00;;27;91.80
Hafer Cappuccino;0;34;115.60;7.56 %;;15;51.00;;19;64.60
Hafer Flat White;0;20;76.00;4.97 %;;7;26.60;;13;49.40
Flat White;0;18;68.40;4.48 %;;3;11.40;;15;57.00
Banana Bread;0;15;57.00;3.73 %;;3;11.40;;12;45.60
Cappuccino groß;0;13;54.60;3.57 %;;3;12.60;;10;42.00
Kanelbullar;0;15;48.00;3.14 %;;6;19.20;;9;28.80
Hafer Caffè Latte;0;13;46.80;3.06 %;;4;14.40;;9;32.40
Americano;0;16;44.80;2.93 %;;7;19.60;;9;25.20
Hafer Cappuccino Groß;0;10;42.00;2.75 %;;4;16.80;;6;25.20
Lucia Dias 250g;0;4;38.00;2.49 %;;0;0.00;;4;38.00
BREW Buch;0;3;37.50;2.45 %;;0;0.00;;3;37.50
