;von;bis;;
Datum:;20.02.2022;20.02.2022;;
Enthalt Z;610;610;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1995.40;97.83 %;
Auslagen;;;40.00;1.96 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;4.20;0.21 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;40.00;1.97 %;
19.0%;;;640.85;31.49 %;
7.0%;;;1354.55;66.55 %;
Total;;;2035.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;40.00;2.17 %;
19.0%;;;538.48;29.19 %;
7.0%;;;1266.04;68.64 %;
Total;;;1844.52;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;102.37;53.63 %;
7.0%;;;88.51;46.37 %;
Total;;;190.88;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;152;968.90;47.60 %;0.00
Maestro;;51;545.70;26.81 %;2.60
MasterCard;;8;100.10;4.92 %;0.00
Mehrzweckgutschein;;2;17.40;0.85 %;0.00
Visa;;20;259.60;12.75 %;0.00
Visa Electron;;12;143.70;7.06 %;1.60
Total;;245;2035.40;100.00 %;4.20
;;;;
Umsatzdetails;;;;;
Anna;;;57.80;2.90 %;0.80
Annacotta;;;756.20;37.90 %;0.80
Emanuel;;;74.80;3.75 %;0.00
Lora;;;891.60;44.68 %;2.60
Robin;;;215.00;10.77 %;0.00
Total;;;1995.40;100.00 %;4.20
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;7.70;100.00 %;
Total;;1;7.70;100.00 %;
;;;;
Tische;;;;;
Theke;;245;2035.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;525;1165.65;57.27 %;;14;51.00;;511;1114.65
Speisen;;158;504.50;24.79 %;;3;11.40;;155;493.10
Sonstiges;;26;365.25;17.94 %;;0;0.00;;26;365.25
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;265;539.80;26.52 %;;7;26.40;;258;513.40
Speisen;;158;504.50;24.79 %;;3;11.40;;155;493.10
Hafer;;137;367.05;18.03 %;;4;14.60;;133;352.45
Röstkaffee;;24;338.25;16.62 %;;0;0.00;;24;338.25
Kaffee;;96;181.20;8.90 %;;2;5.40;;94;175.80
Non Kaffee;;25;69.20;3.40 %;;1;4.60;;24;64.60
Equipment_;;1;17.00;0.84 %;;0;0.00;;1;17.00
Gutscheine;;1;10.00;0.49 %;;0;0.00;;1;10.00
Summer;;2;8.40;0.41 %;;0;0.00;;2;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;69;234.60;11.53 %;;2;6.80;;67;227.80
Hafer Cappuccino;0;45;153.00;7.52 %;;2;6.80;;43;146.20
Kanelbullar;0;44;140.80;6.92 %;;0;0.00;;44;140.80
Banana Bread;0;33;125.40;6.16 %;;2;7.60;;31;117.80
Cappuccino groß;0;26;109.20;5.37 %;;1;4.20;;25;105.00
Hafer Flat White;0;22;82.65;4.06 %;;0;0.00;;22;82.65
Flat White;0;21;79.80;3.92 %;;2;7.60;;19;72.20
Hafer Cappuccino Groß;0;18;75.60;3.71 %;;1;4.20;;17;71.40
Ayla Bombe 250g;0;5;73.63;3.62 %;;0;0.00;;5;73.63
Chakra Warmi 250g;0;5;72.50;3.56 %;;0;0.00;;5;72.50
ReCup ausgeben ´;0;65;65.00;3.19 %;;0;0.00;;65;65.00
Caffé Latte;0;15;54.00;2.65 %;;1;3.60;;14;50.40
Pain au Chocolat;0;18;50.40;2.48 %;;0;0.00;;18;50.40
Filterkaffee;0;18;46.80;2.30 %;;1;2.60;;17;44.20
Croissant;0;20;44.00;2.16 %;;0;0.00;;20;44.00
Bella Vista 250g;0;3;40.50;1.99 %;;0;0.00;;3;40.50
Lemon Poppy Cake;0;8;38.40;1.89 %;;0;0.00;;8;38.40
MIKOLAJ Limonade;0;10;38.00;1.87 %;;0;0.00;;10;38.00
Americano;0;12;33.60;1.65 %;;1;2.80;;11;30.80
Hand Brew;0;7;32.20;1.58 %;;0;0.00;;7;32.20
Don Martin 250g;0;2;29.00;1.42 %;;0;0.00;;2;29.00
Hafer Caffè Latte;0;8;28.80;1.41 %;;1;3.60;;7;25.20
Cookie;0;14;27.50;1.35 %;;0;0.00;;14;27.50
Lucia Dias 250g;0;3;26.12;1.28 %;;0;0.00;;3;26.12
Bella Vista  500g;0;1;26.00;1.28 %;;0;0.00;;1;26.00
Chocolate Cake;0;8;25.60;1.26 %;;0;0.00;;8;25.60
ReCup ausgeben*;0;25;25.00;1.23 %;;0;0.00;;25;25.00
Kuchen Maple Carrot;0;5;24.00;1.18 %;;0;0.00;;5;24.00
ReCup ausgeben;0;22;22.00;1.08 %;;0;0.00;;22;22.00
Izuba 500g;0;1;22.00;1.08 %;;0;0.00;;1;22.00
Kakao groß;0;5;20.00;0.98 %;;0;0.00;;5;20.00
MUYU 250g;0;2;19.00;0.93 %;;0;0.00;;2;19.00
MUYU 500g;0;1;18.00;0.88 %;;0;0.00;;1;18.00
Kinto coffee server 600ml;0;1;17.00;0.84 %;;0;0.00;;1;17.00
Kinder Kakao;0;5;16.00;0.79 %;;0;0.00;;5;16.00
Espresso Single;0;7;15.40;0.76 %;;0;0.00;;7;15.40
Quiche;0;4;15.20;0.75 %;;1;3.80;;3;11.40
Espresso Doppio;0;5;13.00;0.64 %;;0;0.00;;5;13.00
Caffé Latte doppelt;0;3;12.00;0.59 %;;0;0.00;;3;12.00
Americano groß;0;4;12.00;0.59 %;;0;0.00;;4;12.00
Izuba 250g;0;1;11.50;0.56 %;;0;0.00;;1;11.50
10€ Gutschein;0;1;10.00;0.49 %;;0;0.00;;1;10.00
Espresso Macchiato;0;4;9.60;0.47 %;;0;0.00;;4;9.60
Hafer Kinder Kakao;0;3;9.60;0.47 %;;0;0.00;;3;9.60
Lemon Verbena Tea;0;2;9.20;0.45 %;;0;0.00;;2;9.20
Green Tea;0;2;9.20;0.45 %;;1;4.60;;1;4.60
Espresso Doppio Macchiato;0;3;9.00;0.44 %;;0;0.00;;3;9.00
Lemoncake *;0;3;8.40;0.41 %;;0;0.00;;3;8.40
Espresso Tonic;0;2;8.40;0.41 %;;0;0.00;;2;8.40
Apfelschorle;0;2;6.00;0.29 %;;0;0.00;;2;6.00
Blueberry Lemon Cake;0;1;4.80;0.24 %;;0;0.00;;1;4.80
Flat White auf Eis;0;1;4.20;0.21 %;;1;4.20;;0;0.00
Hafer Caffè Latte groß;0;1;4.00;0.20 %;;0;0.00;;1;4.00
Fritz Cola;0;1;3.00;0.15 %;;0;0.00;;1;3.00
Mineralwasser Sprudel;0;1;2.80;0.14 %;;0;0.00;;1;2.80
Hafer Espresso Macchiato;0;1;2.40;0.12 %;;0;0.00;;1;2.40
Deckel ReCup;0;1;1.00;0.05 %;;0;0.00;;1;1.00
Extra Shot;0;1;0.60;0.03 %;;0;0.00;;1;0.60
Milchschaum Kids;0;6;0.00;0.00 %;;0;0.00;;6;0.00
ReCup annehmen;0;13;-13.00;-0.64 %;;0;0.00;;13;-13.00
ReCup annehmen*;0;14;-14.00;-0.69 %;;0;0.00;;14;-14.00
ReCup annehmen ´;0;55;-55.00;-2.70 %;;0;0.00;;55;-55.00
;;;;
