;von;bis;;
Datum:;07.03.2022;07.03.2022;;
Enthalt Z;625;625;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;969.20;100.27 %;
Auslagen;;;-5.00;-0.52 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.40;0.25 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-5.00;-0.52 %;
19.0%;;;372.30;38.61 %;
7.0%;;;596.90;61.91 %;
Total;;;964.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-5.00;-0.58 %;
19.0%;;;312.83;36.14 %;
7.0%;;;557.89;64.44 %;
Total;;;865.72;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;59.47;60.39 %;
7.0%;;;39.01;39.61 %;
Total;;;98.48;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;94;467.50;48.49 %;0.00
Maestro;;38;340.70;35.33 %;1.80
MasterCard;;4;25.60;2.66 %;0.00
Mehrzweckgutschein;;1;8.40;0.87 %;0.00
Visa;;7;48.20;5.00 %;0.00
Visa Electron;;7;73.80;7.65 %;0.60
Total;;151;964.20;100.00 %;2.40
;;;;
Umsatzdetails;;;;;
Annacotta;;;211.60;21.83 %;1.60
Lena P.;;;213.70;22.05 %;0.00
Raquel;;;243.90;25.17 %;0.20
Slobo;;;300.00;30.95 %;0.60
Total;;;969.20;100.00 %;2.40
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;0.70;100.00 %;
Total;;1;0.70;100.00 %;
;;;;
Tische;;;;;
Theke;;151;964.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;272;599.90;62.22 %;;17;57.20;;255;542.70
Sonstiges;;15;203.50;21.11 %;;0;0.00;;15;203.50
Speisen;;54;160.80;16.68 %;;4;14.00;;50;146.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;113;253.60;26.30 %;;4;15.00;;109;238.60
Hafer;;79;211.00;21.88 %;;6;23.80;;73;187.20
Röstkaffee;;13;184.00;19.08 %;;0;0.00;;13;184.00
Speisen;;54;160.80;16.68 %;;4;14.00;;50;146.80
Kaffee;;57;109.20;11.33 %;;6;15.40;;51;93.80
Non Kaffee;;16;26.70;2.77 %;;1;3.00;;15;23.70
Equipment_;;2;19.50;2.02 %;;0;0.00;;2;19.50
Decaf;;7;-0.60;-0.06 %;;0;0.00;;7;-0.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;34;115.60;11.99 %;;1;3.40;;33;112.20
Hafer Cappuccino;0;22;74.80;7.76 %;;1;3.40;;21;71.40
Hafer Cappuccino Groß;0;15;63.00;6.53 %;;4;16.80;;11;46.20
Flat White;0;16;60.80;6.31 %;;2;7.60;;14;53.20
Kanelbullar;0;13;41.60;4.31 %;;1;3.20;;12;38.40
Filterkaffee;0;15;39.00;4.04 %;;1;2.60;;14;36.40
Banana Bread;0;10;38.00;3.94 %;;1;3.80;;9;34.20
Cappuccino groß;0;9;37.80;3.92 %;;0;0.00;;9;37.80
Croissant;0;14;30.80;3.19 %;;1;2.20;;13;28.60
Hafer Caffè Latte;0;8;28.80;2.99 %;;1;3.60;;7;25.20
Pain au Chocolat;0;10;28.00;2.90 %;;0;0.00;;10;28.00
Americano;0;10;28.00;2.90 %;;2;5.60;;8;22.40
