;von;bis;;
Datum:;11.04.2022;11.04.2022;;
Enthalt Z;661;661;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1891.50;96.01 %;
Auslagen;;;77.00;3.91 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.60;0.08 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;77.00;3.91 %;
19.0%;;;598.30;30.39 %;
7.0%;;;1293.20;65.69 %;
Total;;;1968.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;77.00;4.31 %;
19.0%;;;502.73;28.11 %;
7.0%;;;1208.74;67.59 %;
Total;;;1788.47;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;95.57;53.09 %;
7.0%;;;84.46;46.91 %;
Total;;;180.03;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;161;916.60;46.56 %;0.00
Maestro;;45;535.70;27.21 %;1.60
MasterCard;;6;54.60;2.77 %;0.00
Mehrzweckgutschein;;1;7.40;0.38 %;0.00
Visa;;17;231.30;11.75 %;0.00
Visa Electron;;14;222.90;11.32 %;0.00
Total;;244;1968.50;100.00 %;1.60
;;;;
Umsatzdetails;;;;;
Emanuel;;;138.10;7.30 %;0.00
Lena P.;;;405.90;21.46 %;1.20
Lora;;;495.50;26.20 %;0.00
Sebastian;;;70.10;3.71 %;0.00
Sofia;;;781.90;41.34 %;0.40
Total;;;1891.50;100.00 %;1.60
;;;;
Stornos;;;;;
Kommunikationsfehler;;2;6.40;50.79 %;
vertippt;;2;6.20;49.21 %;
Total;;4;12.60;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;3.60;100.00 %;
Total;;1;3.60;100.00 %;
;;;;
Tische;;;;;
Theke;;238;1968.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;413;1030.30;52.34 %;;22;78.60;;391;951.70
Sonstiges;;43;618.40;31.41 %;;0;0.00;;43;618.40
Speisen;;95;319.80;16.25 %;;14;50.20;;81;269.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;34;498.40;25.32 %;;0;0.00;;34;498.40
Milchmischgetränke;;190;466.20;23.68 %;;14;53.40;;176;412.80
Hafer;;116;326.40;16.58 %;;4;14.40;;112;312.00
Speisen;;95;319.80;16.25 %;;14;50.20;;81;269.60
Kaffee;;82;188.40;9.57 %;;4;10.80;;78;177.60
Gutscheine;;5;70.00;3.56 %;;0;0.00;;5;70.00
Equipment_;;4;50.00;2.54 %;;0;0.00;;4;50.00
Non Kaffee;;24;45.10;2.29 %;;0;0.00;;24;45.10
Summer;;1;4.20;0.21 %;;0;0.00;;1;4.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;60;204.00;10.36 %;;2;6.80;;58;197.20
Hafer Cappuccino;0;40;136.00;6.91 %;;2;6.80;;38;129.20
Ayla Bombe 250g;0;7;108.50;5.51 %;;0;0.00;;7;108.50
Caffé Latte;0;20;72.00;3.66 %;;3;10.80;;17;61.20
Flat White;0;18;68.40;3.47 %;;4;15.20;;14;53.20
Banana Bread;0;18;68.40;3.47 %;;4;15.20;;14;53.20
MUYU 1000g;0;2;68.00;3.45 %;;0;0.00;;2;68.00
CUERPO 250g;0;7;66.50;3.38 %;;0;0.00;;7;66.50
Cappuccino groß;0;15;63.00;3.20 %;;3;12.60;;12;50.40
Hafer Flat White;0;16;60.80;3.09 %;;2;7.60;;14;53.20
MUYU 250g;0;6;57.00;2.90 %;;0;0.00;;6;57.00
Americano;0;20;56.00;2.84 %;;1;2.80;;19;53.20
50€ Gutschein;0;1;50.00;2.54 %;;0;0.00;;1;50.00
BREW Buch;0;4;50.00;2.54 %;;0;0.00;;4;50.00
Kanelbullar;0;14;44.80;2.28 %;;2;6.40;;12;38.40
Croissant;0;18;39.60;2.01 %;;0;0.00;;18;39.60
Filterkaffee;0;15;39.00;1.98 %;;1;2.60;;14;36.40
CUERPO 1000g;0;1;34.00;1.73 %;;0;0.00;;1;34.00
Kuchen Maple Carrot;0;7;33.60;1.71 %;;0;0.00;;7;33.60
Pain au Chocolat;0;12;33.60;1.71 %;;4;11.20;;8;22.40
Hafer Cappuccino Groß;0;8;33.60;1.71 %;;0;0.00;;8;33.60
Americano groß;0;11;33.00;1.68 %;;1;3.00;;10;30.00
Hafer Flat White auf Eis;0;7;29.40;1.49 %;;0;0.00;;7;29.40
Bella Vista 250g;0;2;27.00;1.37 %;;0;0.00;;2;27.00
ReCup ausgeben ´;0;26;26.00;1.32 %;;0;0.00;;26;26.00
Chakra Warmi 250g;0;2;25.40;1.29 %;;0;0.00;;2;25.40
Hafer Caffè Latte;0;7;25.20;1.28 %;;0;0.00;;7;25.20
Flat White auf Eis;0;6;25.20;1.28 %;;0;0.00;;6;25.20
Caballero 500g;0;1;24.00;1.22 %;;0;0.00;;1;24.00
Sandwich Vegetarisch;0;5;24.00;1.22 %;;0;0.00;;5;24.00
Caffé Latte doppelt;0;6;24.00;1.22 %;;1;4.00;;5;20.00
MIKOLAJ Limonade;0;6;22.80;1.16 %;;0;0.00;;6;22.80
EL CARMEN Decaf 500g;0;1;22.00;1.12 %;;0;0.00;;1;22.00
Granola;0;5;21.00;1.07 %;;3;12.60;;2;8.40
ReCup ausgeben*;0;20;20.00;1.02 %;;0;0.00;;20;20.00
5€ Gutschein;0;4;20.00;1.02 %;;0;0.00;;4;20.00
Raspberry Cake vegan;0;5;19.00;0.97 %;;0;0.00;;5;19.00
MUYU 500g;0;1;18.00;0.91 %;;0;0.00;;1;18.00
Hafer Kakao groß;0;4;16.00;0.81 %;;0;0.00;;4;16.00
Espresso Doppio;0;6;15.60;0.79 %;;0;0.00;;6;15.60
Sandwich Vegan;0;3;14.40;0.73 %;;1;4.80;;2;9.60
MUYU BOTTLE 365;0;1;13.50;0.69 %;;0;0.00;;1;13.50
ReCup ausgeben;0;13;13.00;0.66 %;;0;0.00;;13;13.00
Caballero 250g;0;1;12.50;0.64 %;;0;0.00;;1;12.50
EL CARMEN Decaf 250g;0;1;11.50;0.58 %;;0;0.00;;1;11.50
Lemon Poppy Cake;0;3;11.40;0.58 %;;0;0.00;;3;11.40
Espresso Single;0;5;11.00;0.56 %;;0;0.00;;5;11.00
Familia Aguilera 250g;0;1;10.50;0.53 %;;0;0.00;;1;10.50
Cookie;0;5;10.00;0.51 %;;0;0.00;;5;10.00
Espresso Macchiato;0;4;9.60;0.49 %;;1;2.40;;3;7.20
Kinder Kakao;0;3;9.60;0.49 %;;0;0.00;;3;9.60
Hand Brew;0;2;9.20;0.47 %;;0;0.00;;2;9.20
Lemon Verbena Tea;0;2;9.20;0.47 %;;0;0.00;;2;9.20
Apfelschorle;0;3;9.00;0.46 %;;0;0.00;;3;9.00
Kakao groß;0;2;8.00;0.41 %;;1;4.00;;1;4.00
Hafer Espresso Macchiato;0;3;7.20;0.37 %;;0;0.00;;3;7.20
Espresso Doppio Macchiato;0;2;6.00;0.30 %;;0;0.00;;2;6.00
Flat White auf Eis.;0;1;4.20;0.21 %;;0;0.00;;1;4.20
Hafer Caffè Latte groß;0;1;4.00;0.20 %;;0;0.00;;1;4.00
Hafer Kinder Kakao;0;1;3.20;0.16 %;;0;0.00;;1;3.20
Mineralwasser Sprudel;0;1;2.80;0.14 %;;0;0.00;;1;2.80
Mineralwasser Still;0;1;2.80;0.14 %;;0;0.00;;1;2.80
Milchschaum Kids;0;5;2.50;0.13 %;;0;0.00;;5;2.50
Deckel ReCup;0;1;1.00;0.05 %;;0;0.00;;1;1.00
ReCup annehmen;0;4;-4.00;-0.20 %;;0;0.00;;4;-4.00
ReCup annehmen **;0;5;-5.00;-0.25 %;;0;0.00;;5;-5.00
ReCup annehmen*;0;9;-9.00;-0.46 %;;0;0.00;;9;-9.00
ReCup annehmen ´;0;34;-34.00;-1.73 %;;0;0.00;;34;-34.00
;;;;
