;von;bis;;
Datum:;06.05.2022;06.05.2022;;
Enthalt Z;686;686;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1769.30;98.63 %;
Auslagen;;;21.00;1.17 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.50;0.20 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;21.00;1.17 %;
19.0%;;;645.70;36.07 %;
7.0%;;;1123.60;62.76 %;
Total;;;1790.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;21.00;1.30 %;
19.0%;;;542.56;33.62 %;
7.0%;;;1050.22;65.08 %;
Total;;;1613.78;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;103.14;58.43 %;
7.0%;;;73.38;41.57 %;
Total;;;176.52;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;162;901.00;50.33 %;0.00
Maestro;;55;523.60;29.25 %;2.60
MasterCard;;12;103.60;5.79 %;0.00
Mehrzweckgutschein;;3;11.00;0.61 %;0.00
Visa;;21;175.60;9.81 %;0.00
Visa Electron;;12;75.50;4.22 %;0.90
Total;;265;1790.30;100.00 %;3.50
;;;;
Umsatzdetails;;;;;
Annacotta;;;753.60;42.59 %;0.40
Lena P.;;;263.00;14.86 %;0.90
Lora;;;546.00;30.86 %;2.20
Mik;;;65.60;3.71 %;0.00
Sofia;;;141.10;7.97 %;0.00
Total;;;1769.30;100.00 %;3.50
;;;;
Stornos;;;;;
Kommunikationsfehler;;1;3.40;100.00 %;
Total;;1;3.40;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;6.50;100.00 %;
Total;;1;6.50;100.00 %;
;;;;
Tische;;;;;
Theke;;265;1790.30;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;395;1134.10;63.35 %;;23;80.10;;372;1054.00
Speisen;;100;336.20;18.78 %;;10;32.40;;90;303.80
Sonstiges;;22;320.00;17.87 %;;0;0.00;;22;320.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;151;451.80;25.24 %;;8;28.80;;143;423.00
Hafer;;123;383.60;21.43 %;;11;40.00;;112;343.60
Speisen;;100;336.20;18.78 %;;10;32.40;;90;303.80
Röstkaffee;;22;320.00;17.87 %;;0;0.00;;22;320.00
Kaffee;;80;171.60;9.58 %;;1;2.40;;79;169.20
Non Kaffee;;29;81.70;4.56 %;;3;8.90;;26;72.80
Summer;;12;45.40;2.54 %;;0;0.00;;12;45.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;50;170.00;9.50 %;;3;10.20;;47;159.80
Hafer Cappuccino;0;36;122.40;6.84 %;;5;17.00;;31;105.40
Flat White;0;24;91.20;5.09 %;;1;3.80;;23;87.40
Hafer Flat White;0;22;83.60;4.67 %;;4;15.20;;18;68.40
EL MORENO 500g;0;3;69.00;3.85 %;;0;0.00;;3;69.00
Banana Bread;0;17;64.60;3.61 %;;1;3.80;;16;60.80
Kanelbullar;0;20;64.00;3.57 %;;1;3.20;;19;60.80
Cappuccino groß;0;14;58.80;3.28 %;;0;0.00;;14;58.80
Hafer Cappuccino Groß;0;14;58.80;3.28 %;;0;0.00;;14;58.80
MUYU BOTTLE 365;0;4;50.62;2.83 %;;0;0.00;;4;50.62
Caffé Latte;0;14;50.40;2.82 %;;3;10.80;;11;39.60
Hafer Flat White auf Eis;0;12;50.40;2.82 %;;1;4.20;;11;46.20
Ayla Bombe 250g;0;3;46.50;2.60 %;;0;0.00;;3;46.50
Americano;0;16;44.80;2.50 %;;0;0.00;;16;44.80
Kuchen Maple Carrot;0;9;43.20;2.41 %;;0;0.00;;9;43.20
MIKOLAJ Limonade;0;11;41.80;2.33 %;;1;3.80;;10;38.00
Filterkaffee;0;16;41.60;2.32 %;;0;0.00;;16;41.60
Hafer Caffè Latte;0;11;39.60;2.21 %;;1;3.60;;10;36.00
MUYU 500g;0;2;36.00;2.01 %;;0;0.00;;2;36.00
Don Martin 250g;0;2;33.00;1.84 %;;0;0.00;;2;33.00
Caffé Latte doppelt;0;8;32.00;1.79 %;;0;0.00;;8;32.00
CUERPO 250g;0;3;28.50;1.59 %;;0;0.00;;3;28.50
Americano groß;0;9;27.00;1.51 %;;0;0.00;;9;27.00
Raspberry Cake vegan;0;7;26.60;1.49 %;;3;11.40;;4;15.20
Cookie;0;13;26.00;1.45 %;;1;2.00;;12;24.00
Flat White auf Eis;0;6;25.20;1.41 %;;0;0.00;;6;25.20
Nitro Americano;0;7;25.20;1.41 %;;0;0.00;;7;25.20
Caballero 250g;0;2;25.00;1.40 %;;0;0.00;;2;25.00
Croissant;0;11;24.20;1.35 %;;2;4.40;;9;19.80
Sandwich Vegan;0;5;24.00;1.34 %;;1;4.80;;4;19.20
Pain au Chocolat;0;8;22.40;1.25 %;;1;2.80;;7;19.60
EL MORENO 250g;0;2;21.88;1.22 %;;0;0.00;;2;21.88
Kakao groß;0;5;20.00;1.12 %;;1;4.00;;4;16.00
Lemon Poppy Cake;0;5;19.00;1.06 %;;0;0.00;;5;19.00
Espresso Doppio;0;7;18.20;1.02 %;;0;0.00;;7;18.20
ReCup ausgeben;0;16;16.00;0.89 %;;0;0.00;;16;16.00
