;von;bis;;
Datum:;29.05.2022;29.05.2022;;
Enthalt Z;710;710;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2552.60;98.48 %;
Auslagen;;;35.00;1.35 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;4.50;0.17 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;35.00;1.35 %;
19.0%;;;699.80;27.04 %;
7.0%;;;1852.80;71.60 %;
Total;;;2587.60;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;35.00;1.49 %;
19.0%;;;588.09;24.97 %;
7.0%;;;1731.80;73.54 %;
Total;;;2354.89;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;111.71;48.00 %;
7.0%;;;121.00;52.00 %;
Total;;;232.71;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;214;1206.70;46.63 %;0.00
Maestro;;71;662.30;25.60 %;2.80
MasterCard;;19;202.80;7.84 %;0.00
Mehrzweckgutschein;;1;10.00;0.39 %;0.00
Visa;;33;345.60;13.36 %;0.00
Visa Electron;;13;160.20;6.19 %;1.70
Total;;351;2587.60;100.00 %;4.50
;;;;
Umsatzdetails;;;;;
Annacotta;;;1034.70;40.54 %;1.70
Artyom;;;55.80;2.19 %;0.00
Laura;;;695.40;27.24 %;0.00
Lora;;;163.30;6.40 %;2.00
Robin;;;21.10;0.83 %;0.00
Sofia;;;582.30;22.81 %;0.80
Total;;;2552.60;100.00 %;4.50
;;;;
Stornos;;;;;
Kommunikationsfehler;;3;5.00;100.00 %;
Total;;3;5.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;5.80;79.45 %;
Staff Bottled Drinks;;1;1.50;20.55 %;
Total;;4;7.30;100.00 %;
;;;;
Tische;;;;;
Theke;;350;2587.60;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;676;1650.08;63.77 %;;15;43.80;;661;1606.28
Speisen;;187;572.12;22.11 %;;12;37.60;;175;534.52
Sonstiges;;29;365.40;14.12 %;;0;0.00;;29;365.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;381;917.18;35.45 %;;5;16.80;;376;900.38
Speisen;;187;572.12;22.11 %;;12;37.60;;175;534.52
Hafer;;136;370.40;14.31 %;;5;18.20;;131;352.20
Röstkaffee;;28;355.90;13.75 %;;0;0.00;;28;355.90
Kaffee;;115;243.80;9.42 %;;3;7.80;;112;236.00
Non Kaffee;;32;72.10;2.79 %;;2;1.00;;30;71.10
Summer;;9;37.40;1.45 %;;0;0.00;;9;37.40
Equipment_;;1;9.50;0.37 %;;0;0.00;;1;9.50
Decaf;;3;9.20;0.36 %;;0;0.00;;3;9.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;111;377.40;14.58 %;;4;13.60;;107;363.80
Cappuccino groß;0;39;162.78;6.29 %;;0;0.00;;39;162.78
Hafer Cappuccino;0;45;153.00;5.91 %;;3;10.20;;42;142.80
Kanelbullar;0;45;144.00;5.57 %;;3;9.60;;42;134.40
Banana Bread;0;35;133.00;5.14 %;;2;7.60;;33;125.40
Flat White;0;33;125.40;4.85 %;;0;0.00;;33;125.40
Caffé Latte;0;23;82.80;3.20 %;;0;0.00;;23;82.80
CUERPO 250g;0;8;76.00;2.94 %;;0;0.00;;8;76.00
Pain au Chocolat;0;27;74.92;2.90 %;;4;11.20;;23;63.72
ReCup ausgeben ´;0;73;73.00;2.82 %;;0;0.00;;73;73.00
MUYU 500g;0;4;72.00;2.78 %;;0;0.00;;4;72.00
Hafer Flat White;0;18;68.40;2.64 %;;1;3.80;;17;64.60
Croissant;0;27;59.40;2.30 %;;2;4.40;;25;55.00
Americano;0;20;56.00;2.16 %;;1;2.80;;19;53.20
Cookie;0;28;55.00;2.13 %;;0;0.00;;28;55.00
Kinder Kakao;0;17;54.40;2.10 %;;1;3.20;;16;51.20
Caffé Latte doppelt;0;13;52.00;2.01 %;;0;0.00;;13;52.00
Filterkaffee;0;19;49.40;1.91 %;;0;0.00;;19;49.40
Kuchen Maple Carrot;0;10;48.00;1.86 %;;1;4.80;;9;43.20
Hafer Cappuccino Groß;0;10;42.00;1.62 %;;0;0.00;;10;42.00
MUYU 250g;0;4;38.00;1.47 %;;0;0.00;;4;38.00
Granola;0;9;37.80;1.46 %;;0;0.00;;9;37.80
EL MORENO 250g;0;3;34.40;1.33 %;;0;0.00;;3;34.40
Espresso Macchiato;0;14;33.60;1.30 %;;1;2.40;;13;31.20
Hafer Flat White auf Eis;0;8;33.60;1.30 %;;1;4.20;;7;29.40
Flat White auf Eis;0;7;29.40;1.14 %;;0;0.00;;7;29.40
Hafer Caffè Latte;0;8;28.80;1.11 %;;0;0.00;;8;28.80
Espresso Single;0;13;28.60;1.11 %;;0;0.00;;13;28.60
ReCup ausgeben*;0;27;27.00;1.04 %;;0;0.00;;27;27.00
Americano groß;0;9;27.00;1.04 %;;0;0.00;;9;27.00
IZUBA 250g;0;2;25.00;0.97 %;;0;0.00;;2;25.00
EL MORENO 500g;0;1;24.00;0.93 %;;0;0.00;;1;24.00
EL CARMEN Decaf 250g;0;2;23.00;0.89 %;;0;0.00;;2;23.00
MIKOLAJ Limonade;0;6;22.80;0.88 %;;0;0.00;;6;22.80
Espresso Doppio;0;8;20.80;0.80 %;;1;2.60;;7;18.20
Kakao;0;5;20.00;0.77 %;;0;0.00;;5;20.00
Lemon Poppy Cake;0;5;19.00;0.73 %;;0;0.00;;5;19.00
Hand Brew;0;4;18.40;0.71 %;;0;0.00;;4;18.40
CUERPO 500g;0;1;18.00;0.70 %;;0;0.00;;1;18.00
ReCup ausgeben;0;17;17.00;0.66 %;;0;0.00;;17;17.00
Apfelschorle;0;6;16.50;0.64 %;;0;0.00;;6;16.50
DON MARTIN 250g;0;1;16.50;0.64 %;;0;0.00;;1;16.50
AYLA BOMBE 250g;0;1;15.50;0.60 %;;0;0.00;;1;15.50
Cold Brew;0;4;15.20;0.59 %;;0;0.00;;4;15.20
Hafer Espresso Macchiato doppelt;0;5;15.00;0.58 %;;0;0.00;;5;15.00
Green Tea;0;3;13.80;0.53 %;;0;0.00;;3;13.80
MUYU BOTTLE 365;0;1;13.50;0.52 %;;0;0.00;;1;13.50
Nimbus Cocktail;0;2;10.80;0.42 %;;0;0.00;;2;10.80
Tasche SUEDHANG;0;1;9.50;0.37 %;;0;0.00;;1;9.50
Mineralwasser Sprudel;0;3;8.40;0.32 %;;0;0.00;;3;8.40
Nitro Americano;0;2;7.20;0.28 %;;0;0.00;;2;7.20
Decaf Americano;0;2;5.60;0.22 %;;0;0.00;;2;5.60
Milchschaum Kids;0;10;5.00;0.19 %;;2;1.00;;8;4.00
Lemon Verbena Tea;0;1;4.60;0.18 %;;0;0.00;;1;4.60
Espresso Tonic;0;1;4.20;0.16 %;;0;0.00;;1;4.20
Hafer Kakao;0;1;4.00;0.15 %;;0;0.00;;1;4.00
Hafer Caffè Latte doppelt;0;1;4.00;0.15 %;;0;0.00;;1;4.00
Decaf Caffè Latte;0;1;3.60;0.14 %;;0;0.00;;1;3.60
Hafer Kinder Kakao;0;1;3.20;0.12 %;;0;0.00;;1;3.20
Espresso Doppio Macchiato;0;1;3.00;0.12 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato;0;1;2.40;0.09 %;;0;0.00;;1;2.40
