;von;bis;;
Datum:;05.06.2022;05.06.2022;;
Enthalt Z;717;717;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1760.90;98.57 %;
Auslagen;;;22.00;1.23 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.60;0.20 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;22.00;1.23 %;
19.0%;;;910.10;51.05 %;
7.0%;;;850.80;47.72 %;
Total;;;1782.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;22.00;1.39 %;
19.0%;;;764.81;48.34 %;
7.0%;;;795.19;50.26 %;
Total;;;1582.00;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;145.29;72.32 %;
7.0%;;;55.61;27.68 %;
Total;;;200.90;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;141;779.10;43.70 %;0.00
Maestro;;61;575.10;32.26 %;1.80
MasterCard;;17;185.40;10.40 %;1.80
Visa;;23;178.50;10.01 %;0.00
Visa Electron;;7;64.80;3.63 %;0.00
Total;;249;1782.90;100.00 %;3.60
;;;;
Umsatzdetails;;;;;
Artyom;;;524.20;29.77 %;1.80
Jairo;;;3.00;0.17 %;0.00
Karolina;;;636.90;36.17 %;0.20
Laura;;;316.50;17.97 %;1.60
Lena P.;;;217.10;12.33 %;0.00
Robin;;;63.20;3.59 %;0.00
Total;;;1760.90;100.00 %;3.60
;;;;
Stornos;;;;;
vertippt;;2;7.20;65.45 %;
Änderung durch Gast;;1;3.80;34.55 %;
Total;;3;11.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;0.50;100.00 %;
Total;;1;0.50;100.00 %;
;;;;
Tische;;;;;
Theke;;247;1782.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;424;1203.10;67.48 %;;158;547.20;;266;655.90
Speisen;;138;432.30;24.25 %;;49;156.40;;89;275.90
Sonstiges;;13;147.50;8.27 %;;3;30.50;;10;117.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;177;502.20;28.17 %;;63;230.00;;114;272.20
Speisen;;138;432.30;24.25 %;;49;156.40;;89;275.90
Hafer;;125;393.60;22.08 %;;42;148.60;;83;245.00
Kaffee;;78;177.40;9.95 %;;32;91.60;;46;85.80
Röstkaffee;;11;128.50;7.21 %;;2;21.00;;9;107.50
Summer;;18;67.80;3.80 %;;11;41.00;;7;26.80
Non Kaffee;;26;62.10;3.48 %;;10;36.00;;16;26.10
Equipment_;;2;19.00;1.07 %;;1;9.50;;1;9.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;67;227.80;12.78 %;;34;115.60;;33;112.20
Hafer Cappuccino;0;44;149.60;8.39 %;;20;68.00;;24;81.60
Banana Bread;0;29;110.20;6.18 %;;10;38.00;;19;72.20
Kanelbullar;0;30;96.00;5.38 %;;12;38.40;;18;57.60
Cappuccino groß;0;22;92.40;5.18 %;;8;33.60;;14;58.80
Hafer Flat White;0;16;60.80;3.41 %;;8;30.40;;8;30.40
Flat White;0;15;57.00;3.20 %;;8;30.40;;7;26.60
Hafer Flat White auf Eis;0;13;54.60;3.06 %;;7;29.40;;6;25.20
Flat White auf Eis;0;12;50.40;2.83 %;;6;25.20;;6;25.20
Kuchen Maple Carrot;0;10;48.00;2.69 %;;6;28.80;;4;19.20
Cookie;0;24;47.50;2.66 %;;9;18.00;;15;29.50
Hafer Cappuccino Groß;0;11;46.20;2.59 %;;1;4.20;;10;42.00
Pain au Chocolat;0;16;44.80;2.51 %;;8;22.40;;8;22.40
