;von;bis;;
Datum:;16.06.2022;16.06.2022;;
Enthalt Z;728;728;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1792.70;97.58 %;
Auslagen;;;41.00;2.23 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.40;0.19 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;41.00;2.24 %;
19.0%;;;604.25;32.95 %;
7.0%;;;1188.45;64.81 %;
Total;;;1833.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;41.00;2.47 %;
19.0%;;;507.77;30.60 %;
7.0%;;;1110.83;66.93 %;
Total;;;1659.60;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;96.48;55.42 %;
7.0%;;;77.62;44.58 %;
Total;;;174.10;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;126;764.70;41.70 %;0.00
Maestro;;60;586.30;31.97 %;0.00
MasterCard;;11;70.60;3.85 %;0.00
Mehrzweckgutschein;;2;12.20;0.67 %;0.00
Visa;;19;211.20;11.52 %;1.20
Visa Electron;;20;188.70;10.29 %;2.20
Total;;238;1833.70;100.00 %;3.40
;;;;
Umsatzdetails;;;;;
Anna;;;204.80;11.42 %;0.00
Annacotta;;;18.40;1.03 %;0.00
Artyom;;;118.00;6.58 %;0.00
Emanuel;;;256.20;14.29 %;0.00
Laura;;;186.70;10.41 %;1.20
Lena P.;;;474.40;26.46 %;0.00
Lena R.;;;10.80;0.60 %;0.00
Lora;;;501.80;27.99 %;2.20
Mik;;;21.60;1.20 %;0.00
Total;;;1792.70;100.00 %;3.40
;;;;
Stornos;;;;;
vertippt;;1;12.50;100.00 %;
Total;;1;12.50;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;4;8.20;100.00 %;
Total;;4;8.20;100.00 %;
;;;;
Tische;;;;;
Theke;;235;1833.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;387;1110.25;60.55 %;;29;103.00;;358;1007.25
Speisen;;109;376.45;20.53 %;;13;48.40;;96;328.05
Sonstiges;;25;347.00;18.92 %;;0;0.00;;25;347.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Speisen;;109;376.45;20.53 %;;13;48.40;;96;328.05
Milchmischgetränke;;134;366.60;19.99 %;;8;30.40;;126;336.20
Hafer;;107;308.40;16.82 %;;9;36.20;;98;272.20
Röstkaffee;;23;287.00;15.65 %;;0;0.00;;23;287.00
Summer;;56;219.40;11.96 %;;3;12.60;;53;206.80
Kaffee;;47;118.80;6.48 %;;8;20.80;;39;98.00
Non Kaffee;;40;88.05;4.80 %;;1;3.00;;39;85.05
Equipment_;;1;35.00;1.91 %;;0;0.00;;1;35.00
Gutscheine;;1;25.00;1.36 %;;0;0.00;;1;25.00
Decaf;;3;9.00;0.49 %;;0;0.00;;3;9.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer Flat White auf Eis;0;43;180.60;9.85 %;;6;25.20;;37;155.40
Flat White auf Eis;0;32;134.40;7.33 %;;2;8.40;;30;126.00
Cappuccino;0;36;122.40;6.68 %;;3;10.20;;33;112.20
Espresso Tonic;0;20;84.00;4.58 %;;0;0.00;;20;84.00
Nitro Americano;0;23;82.80;4.52 %;;2;7.20;;21;75.60
Kanelbullar;0;25;80.00;4.36 %;;2;6.40;;23;73.60
Kuchen Maple Carrot;0;15;70.82;3.86 %;;2;9.60;;13;61.22
CUERPO 250g;0;7;66.50;3.63 %;;0;0.00;;7;66.50
DON MARTIN 250g;0;4;66.00;3.60 %;;0;0.00;;4;66.00
Banana Bread;0;15;56.07;3.06 %;;2;7.60;;13;48.47
Cold Brew;0;11;41.80;2.28 %;;0;0.00;;11;41.80
Caffé Latte;0;11;39.60;2.16 %;;1;3.60;;10;36.00
MIKOLAJ Limonade;0;10;38.00;2.07 %;;0;0.00;;10;38.00
