;von;bis;;
Datum:;10.08.2022;10.08.2022;;
Enthalt Z;784;784;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1739.40;98.54 %;
Auslagen;;;25.00;1.42 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.70;0.04 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;25.00;1.42 %;
19.0%;;;634.50;35.96 %;
7.0%;;;1104.90;62.62 %;
Total;;;1764.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;25.00;1.57 %;
19.0%;;;533.25;33.52 %;
7.0%;;;1032.69;64.91 %;
Total;;;1590.94;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;101.25;58.37 %;
7.0%;;;72.21;41.63 %;
Total;;;173.46;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;137;777.00;44.04 %;0.00
Maestro;;52;466.30;26.43 %;0.70
MasterCard;;13;99.00;5.61 %;0.00
Mehrzweckgutschein;;2;31.20;1.77 %;0.00
Visa;;24;232.50;13.18 %;0.00
Visa Electron;;12;158.40;8.98 %;0.00
Total;;240;1764.40;100.00 %;0.70
;;;;
Umsatzdetails;;;;;
Jairo;;;236.70;13.61 %;0.00
Lena P.;;;445.90;25.64 %;0.00
Lena R.;;;4.60;0.26 %;0.00
Mik;;;9.40;0.54 %;0.00
Raquel;;;82.90;4.77 %;0.00
Robin;;;153.20;8.81 %;0.00
Sofia;;;806.70;46.38 %;0.70
Total;;;1739.40;100.00 %;0.70
;;;;
Stornos;;;;;
Training/Testbuchung;;1;260.00;100.00 %;
Total;;1;260.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;5.00;100.00 %;
Total;;3;5.00;100.00 %;
;;;;
Tische;;;;;
Theke;;239;1764.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;414;1078.50;61.13 %;;65;225.70;;349;852.80
Speisen;;112;372.50;21.11 %;;28;88.00;;84;284.50
Sonstiges;;22;313.40;17.76 %;;3;40.00;;19;273.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;161;448.40;25.41 %;;21;76.60;;140;371.80
Speisen;;112;372.50;21.11 %;;28;88.00;;84;284.50
Hafer;;108;336.80;19.09 %;;21;82.00;;87;254.80
Röstkaffee;;20;288.40;16.35 %;;3;40.00;;17;248.40
Kaffee;;94;157.20;8.91 %;;11;25.40;;83;131.80
Summer;;26;100.40;5.69 %;;11;41.20;;15;59.20
Non Kaffee;;25;35.70;2.02 %;;1;0.50;;24;35.20
Equipment_;;2;25.00;1.42 %;;0;0.00;;2;25.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Flat White auf Eis;0;39;163.80;9.28 %;;6;25.20;;33;138.60
Hafer Flat White auf Eis;0;32;134.40;7.62 %;;10;42.00;;22;92.40
Cappuccino;0;36;122.40;6.94 %;;5;17.00;;31;105.40
Banana Bread;0;21;79.80;4.52 %;;2;7.60;;19;72.20
Hafer Cappuccino;0;22;74.80;4.24 %;;5;17.00;;17;57.80
Flat White;0;17;64.60;3.66 %;;4;15.20;;13;49.40
Croissant;0;25;60.00;3.40 %;;10;24.00;;15;36.00
Kanelbullar;0;18;57.60;3.26 %;;3;9.60;;15;48.00
MUYU 500g;0;3;54.00;3.06 %;;1;18.00;;2;36.00
Cold Brew;0;13;49.40;2.80 %;;5;19.00;;8;30.40
Cappuccino groß;0;11;46.20;2.62 %;;3;12.60;;8;33.60
Hafer Cappuccino Groß;0;11;46.20;2.62 %;;2;8.40;;9;37.80
Hafer Caffè Latte;0;12;43.20;2.45 %;;3;10.80;;9;32.40
MUYU BOTTLE 365;0;3;40.50;2.30 %;;0;0.00;;3;40.50
MUYU 1000g;0;1;34.00;1.93 %;;0;0.00;;1;34.00
Americano;0;12;33.60;1.90 %;;1;2.80;;11;30.80
LUS HELENA SALAZAR 250g;0;2;33.00;1.87 %;;0;0.00;;2;33.00
Pain au Chocolat;0;12;32.90;1.86 %;;5;14.00;;7;18.90
Sandwich Vegetarisch;0;7;32.40;1.84 %;;1;4.80;;6;27.60
Espresso Tonic;0;7;29.40;1.67 %;;1;4.20;;6;25.20
ReCup ausgeben ´;0;29;29.00;1.64 %;;0;0.00;;29;29.00
Espresso Single;0;13;28.60;1.62 %;;1;2.20;;12;26.40
Filterkaffee;0;11;28.60;1.62 %;;3;7.80;;8;20.80
MUYU 250g;0;3;28.50;1.62 %;;1;9.50;;2;19.00
Caffé Latte;0;7;25.20;1.43 %;;1;3.60;;6;21.60
BREW Buch;0;2;25.00;1.42 %;;0;0.00;;2;25.00
EL MORENO 250g;0;2;25.00;1.42 %;;1;12.50;;1;12.50
IZUBA 250g;0;2;25.00;1.42 %;;0;0.00;;2;25.00
Kuchen Maple Carrot;0;5;24.00;1.36 %;;1;4.80;;4;19.20
Nitro Americano;0;6;21.60;1.22 %;;5;18.00;;1;3.60
Granola;0;5;21.00;1.19 %;;5;21.00;;0;0.00
Americano groß;0;7;21.00;1.19 %;;1;3.00;;6;18.00
Cookie;0;9;19.80;1.12 %;;1;2.20;;8;17.60
NY cheesecake;0;4;19.20;1.09 %;;0;0.00;;4;19.20
Hafer Flat White;0;5;19.00;1.08 %;;1;3.80;;4;15.20
Espresso Doppio;0;7;18.20;1.03 %;;0;0.00;;7;18.20
ReCup ausgeben*;0;18;18.00;1.02 %;;0;0.00;;18;18.00
CUERPO 500g;0;1;18.00;1.02 %;;0;0.00;;1;18.00
ReCup ausgeben_;0;17;17.00;0.96 %;;0;0.00;;17;17.00
Espresso Macchiato;0;6;14.40;0.82 %;;1;2.40;;5;12.00
Sandwich Vegan;0;3;14.40;0.82 %;;0;0.00;;3;14.40
Hand Brew;0;3;13.80;0.78 %;;2;9.20;;1;4.60
EL CARMEN Decaf 250g;0;1;11.50;0.65 %;;0;0.00;;1;11.50
MIKOLAJ Limonade;0;3;11.40;0.65 %;;0;0.00;;3;11.40
Lemon Poppy Cake;0;3;11.40;0.65 %;;0;0.00;;3;11.40
CUERPO 250g;0;1;9.50;0.54 %;;0;0.00;;1;9.50
CABALLERO 250g;0;1;9.40;0.53 %;;0;0.00;;1;9.40
Mineralwasser Still;0;3;8.40;0.48 %;;0;0.00;;3;8.40
Caffé Latte doppelt;0;2;8.00;0.45 %;;1;4.00;;1;4.00
ReCup ausgeben **;0;7;7.00;0.40 %;;0;0.00;;7;7.00
Green Tea;0;1;4.60;0.26 %;;0;0.00;;1;4.60
Kakao;0;1;4.00;0.23 %;;0;0.00;;1;4.00
