;von;bis;;
Datum:;13.08.2022;13.08.2022;;
Enthalt Z;787;787;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2758.90;98.11 %;
Auslagen;;;50.00;1.78 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.20;0.11 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;50.00;1.78 %;
19.0%;;;1387.44;49.39 %;
7.0%;;;1371.46;48.83 %;
Total;;;2808.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;50.00;2.00 %;
19.0%;;;1165.94;46.68 %;
7.0%;;;1281.90;51.32 %;
Total;;;2497.84;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;221.50;71.21 %;
7.0%;;;89.56;28.79 %;
Total;;;311.06;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;175;1156.40;41.17 %;0.00
Maestro;;89;989.20;35.22 %;0.00
MasterCard;;19;217.30;7.74 %;0.00
Visa;;29;305.70;10.88 %;3.20
Visa Electron;;14;140.30;4.99 %;0.00
Total;;326;2808.90;100.00 %;3.20
;;;;
Umsatzdetails;;;;;
Anna S.;;;168.10;6.09 %;0.00
Artyom;;;11.20;0.41 %;0.00
Karolina;;;1330.00;48.21 %;3.20
Lena P.;;;69.20;2.51 %;0.00
Mik;;;59.20;2.15 %;0.00
Sofia;;;1121.20;40.64 %;0.00
Total;;;2758.90;100.00 %;3.20
;;;;
Stornos;;;;;
Kommunikationsfehler;;3;8.80;100.00 %;
Total;;3;8.80;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;5;8.60;100.00 %;
Total;;5;8.60;100.00 %;
;;;;
Tische;;;;;
Theke;;325;2804.70;99.85 %;
Tisch 1;;1;4.20;0.15 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;573;1694.57;60.33 %;;266;986.80;;307;707.77
Sonstiges;;40;557.50;19.85 %;;8;117.50;;32;440.00
Speisen;;159;556.83;19.82 %;;97;340.40;;62;216.43
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer;;207;632.37;22.51 %;;95;378.80;;112;253.57
Milchmischgetränke;;196;612.53;21.81 %;;81;318.00;;115;294.53
Speisen;;159;556.83;19.82 %;;97;340.40;;62;216.43
Röstkaffee;;37;477.50;17.00 %;;7;82.50;;30;395.00
Kaffee;;88;208.20;7.41 %;;42;122.20;;46;86.00
Summer;;41;158.20;5.63 %;;26;99.60;;15;58.60
Non Kaffee;;41;83.27;2.96 %;;22;68.20;;19;15.07
Equipment_;;2;70.00;2.49 %;;1;35.00;;1;35.00
Gutscheine;;1;10.00;0.36 %;;0;0.00;;1;10.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer Flat White auf Eis;0;73;306.60;10.92 %;;56;235.20;;17;71.40
Flat White auf Eis;0;46;193.20;6.88 %;;32;134.40;;14;58.80
Cappuccino;0;52;175.13;6.23 %;;19;64.60;;33;110.53
Banana Bread;0;35;133.00;4.73 %;;16;60.80;;19;72.20
Hafer Cappuccino Groß;0;27;113.40;4.04 %;;14;58.80;;13;54.60
Kanelbullar;0;35;112.00;3.99 %;;24;76.80;;11;35.20
Hafer Cappuccino;0;28;94.37;3.36 %;;12;40.80;;16;53.57
Cappuccino groß;0;22;92.40;3.29 %;;11;46.20;;11;46.20
MUYU 250g;0;8;76.00;2.71 %;;1;9.50;;7;66.50
Tasse L;0;2;70.00;2.49 %;;1;35.00;;1;35.00
CUERPO 250g;0;7;66.50;2.37 %;;2;19.00;;5;47.50
Flat White;0;17;64.60;2.30 %;;8;30.40;;9;34.20
Espresso Tonic;0;13;54.60;1.94 %;;7;29.40;;6;25.20
Cold Brew;0;14;53.20;1.89 %;;9;34.20;;5;19.00
Kuchen Maple Carrot;0;11;51.63;1.84 %;;9;43.20;;2;8.43
Sandwich Vegetarisch;0;11;51.60;1.84 %;;5;24.00;;6;27.60
Nitro Americano;0;14;50.40;1.79 %;;10;36.00;;4;14.40
DON MARTIN 250g;0;3;49.50;1.76 %;;0;0.00;;3;49.50
Coldbrew;0;13;49.40;1.76 %;;8;30.40;;5;19.00
MIKOLAJ Limonade;0;12;44.67;1.59 %;;9;34.20;;3;10.47
Pain au Chocolat;0;15;42.00;1.50 %;;6;16.80;;9;25.20
Hafer Flat White;0;11;41.80;1.49 %;;6;22.80;;5;19.00
MUYU BOTTLE 365;0;3;40.50;1.44 %;;0;0.00;;3;40.50
ReCup ausgeben*;0;40;40.00;1.42 %;;0;0.00;;40;40.00
Filterkaffee;0;16;39.70;1.41 %;;5;13.00;;11;26.70
EL MORENO 250g;0;3;37.50;1.34 %;;1;12.50;;2;25.00
IZUBA 250g;0;3;37.50;1.34 %;;2;25.00;;1;12.50
MUYU 500g;0;2;36.00;1.28 %;;0;0.00;;2;36.00
Caffé Latte;0;10;36.00;1.28 %;;4;14.40;;6;21.60
Croissant;0;15;36.00;1.28 %;;11;26.40;;4;9.60
MUYU 1000g;0;1;34.00;1.21 %;;0;0.00;;1;34.00
Caffé Latte doppelt;0;8;32.00;1.14 %;;7;28.00;;1;4.00
Cookie;0;14;30.80;1.10 %;;10;22.00;;4;8.80
ReCup ausgeben ´;0;28;28.00;1.00 %;;0;0.00;;28;28.00
Lemon Poppy Cake;0;7;26.60;0.95 %;;4;15.20;;3;11.40
Espresso Doppio;0;10;26.00;0.93 %;;7;18.20;;3;7.80
Granola;0;6;25.20;0.90 %;;4;16.80;;2;8.40
CABALLERO 250g;0;2;25.00;0.89 %;;0;0.00;;2;25.00
EL MORENO 500g;0;1;24.00;0.85 %;;0;0.00;;1;24.00
NY cheesecake;0;5;24.00;0.85 %;;4;19.20;;1;4.80
Sandwich Vegan;0;5;24.00;0.85 %;;4;19.20;;1;4.80
Sapto Wening 250g;0;2;23.00;0.82 %;;0;0.00;;2;23.00
Americano;0;8;22.40;0.80 %;;6;16.80;;2;5.60
Mineralwasser Sprudel;0;8;22.40;0.80 %;;7;19.60;;1;2.80
Hand Brew;0;4;18.40;0.66 %;;3;13.80;;1;4.60
Hafer Caffè Latte;0;5;18.00;0.64 %;;1;3.60;;4;14.40
