;von;bis;;
Datum:;24.08.2022;24.08.2022;;
Enthalt Z;798;798;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1612.90;99.94 %;
Auslagen;;;1.00;0.06 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;1.00;0.06 %;
19.0%;;;813.50;50.41 %;
7.0%;;;799.40;49.53 %;
Total;;;1613.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;1.00;0.07 %;
19.0%;;;683.64;47.75 %;
7.0%;;;747.19;52.18 %;
Total;;;1431.83;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;129.86;71.32 %;
7.0%;;;52.21;28.68 %;
Total;;;182.07;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;144;791.20;49.02 %;0.00
Maestro;;39;327.80;20.31 %;0.00
MasterCard;;13;128.50;7.96 %;0.00
Visa;;23;206.80;12.81 %;0.00
Visa Electron;;13;159.60;9.89 %;0.00
Total;;232;1613.90;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;286.20;17.74 %;0.00
Artyom;;;311.50;19.31 %;0.00
Jairo;;;41.60;2.58 %;0.00
Lena R.;;;768.60;47.65 %;0.00
Sofia;;;205.00;12.71 %;0.00
Total;;;1612.90;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;4.20;100.00 %;
Total;;1;4.20;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;3.60;100.00 %;
Total;;3;3.60;100.00 %;
;;;;
Tische;;;;;
Theke;;232;1613.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;372;1001.50;62.05 %;;162;547.00;;210;454.50
Speisen;;89;306.40;18.99 %;;61;211.00;;28;95.40
Sonstiges;;18;306.00;18.96 %;;3;53.50;;15;252.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;139;355.20;22.01 %;;49;173.20;;90;182.00
Hafer;;97;317.40;19.67 %;;55;211.20;;42;106.20
Speisen;;89;306.40;18.99 %;;61;211.00;;28;95.40
Röstkaffee;;16;260.00;16.11 %;;3;53.50;;13;206.50
Kaffee;;71;141.60;8.77 %;;27;72.00;;44;69.60
Summer;;29;109.40;6.78 %;;15;56.40;;14;53.00
Non Kaffee;;32;67.70;4.19 %;;15;31.80;;17;35.90
Equipment_;;2;46.00;2.85 %;;0;0.00;;2;46.00
Decaf;;4;10.20;0.63 %;;1;2.40;;3;7.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;39;132.60;8.22 %;;19;64.60;;20;68.00
Hafer Flat White auf Eis;0;27;113.40;7.03 %;;15;63.00;;12;50.40
Flat White auf Eis;0;20;84.00;5.20 %;;10;42.00;;10;42.00
Hafer Cappuccino;0;23;78.20;4.85 %;;14;47.60;;9;30.60
Banana Bread;0;17;64.60;4.00 %;;11;41.80;;6;22.80
Cappuccino groß;0;12;50.40;3.12 %;;3;12.60;;9;37.80
Nitro Americano;0;14;50.40;3.12 %;;9;32.40;;5;18.00
Kanelbullar;0;15;48.00;2.97 %;;12;38.40;;3;9.60
Pain au Chocolat;0;15;42.00;2.60 %;;13;36.40;;2;5.60
Hafer Flat White;0;11;41.80;2.59 %;;11;41.80;;0;0.00
Flat White;0;11;41.80;2.59 %;;8;30.40;;3;11.40
Cold Brew;0;10;38.00;2.35 %;;3;11.40;;7;26.60
Hafer Cappuccino Groß;0;9;37.80;2.34 %;;8;33.60;;1;4.20
MUYU 500g;0;2;36.00;2.23 %;;0;0.00;;2;36.00
Divers. Röstkaffee;0;2;35.00;2.17 %;;1;17.50;;1;17.50
MUYU 1000g;0;1;34.00;2.11 %;;0;0.00;;1;34.00
Caffé Latte;0;8;28.80;1.78 %;;4;14.40;;4;14.40
Croissant;0;12;28.80;1.78 %;;7;16.80;;5;12.00
Espresso Single;0;13;28.60;1.77 %;;6;13.20;;7;15.40
Filterkaffee;0;11;28.60;1.77 %;;1;2.60;;10;26.00
Tasse M;0;1;28.00;1.73 %;;0;0.00;;1;28.00
MUYU BOTTLE 365;0;2;27.00;1.67 %;;0;0.00;;2;27.00
Americano;0;9;25.20;1.56 %;;6;16.80;;3;8.40
EL MORENO 250g;0;2;25.00;1.55 %;;0;0.00;;2;25.00
Sandwich Vegetarisch;0;5;24.00;1.49 %;;4;19.20;;1;4.80
Apfelschorle;0;8;24.00;1.49 %;;4;12.00;;4;12.00
Espresso Doppio;0;9;23.40;1.45 %;;7;18.20;;2;5.20
MIKOLAJ Limonade;0;6;22.80;1.41 %;;1;3.80;;5;19.00
Kuchen Maple Carrot;0;5;22.80;1.41 %;;3;14.40;;2;8.40
ReCup ausgeben ´;0;22;22.00;1.36 %;;0;0.00;;22;22.00
Espresso Tonic;0;5;21.00;1.30 %;;3;12.60;;2;8.40
Granola;0;5;21.00;1.30 %;;5;21.00;;0;0.00
GERMAN CARRANZA 250g;0;1;19.50;1.21 %;;1;19.50;;0;0.00
Espresso Macchiato;0;8;19.20;1.19 %;;5;12.00;;3;7.20
NY cheesecake;0;4;19.20;1.19 %;;1;4.80;;3;14.40
CUERPO 500g;0;1;18.00;1.12 %;;0;0.00;;1;18.00
Tasse S;0;1;18.00;1.12 %;;0;0.00;;1;18.00
RUGALI 250g;0;1;17.50;1.08 %;;0;0.00;;1;17.50
DON MARTIN 250g;0;1;16.50;1.02 %;;1;16.50;;0;0.00
Hafer Caffè Latte doppelt;0;4;16.00;0.99 %;;3;12.00;;1;4.00
Lemon Poppy Cake;0;4;15.20;0.94 %;;2;7.60;;2;7.60
Hafer Caffè Latte;0;4;14.40;0.89 %;;3;10.80;;1;3.60
ReCup ausgeben*;0;14;14.00;0.87 %;;0;0.00;;14;14.00
Hand Brew;0;3;13.80;0.86 %;;2;9.20;;1;4.60
IZUBA 250g;0;1;12.50;0.77 %;;0;0.00;;1;12.50
Sandwich Vegan;0;3;12.00;0.74 %;;2;8.40;;1;3.60
Kinder Kakao;0;3;9.60;0.59 %;;1;3.20;;2;6.40
MUYU 250g;0;1;9.50;0.59 %;;0;0.00;;1;9.50
CUERPO 250g;0;1;9.50;0.59 %;;0;0.00;;1;9.50
Cookie;0;4;8.80;0.55 %;;1;2.20;;3;6.60
Mineralwasser Sprudel;0;3;8.40;0.52 %;;2;5.60;;1;2.80
Mineralwasser Still;0;3;8.40;0.52 %;;1;2.80;;2;5.60
Caffé Latte doppelt;0;2;8.00;0.50 %;;2;8.00;;0;0.00
Decaf Cappuccino;0;2;6.80;0.42 %;;0;0.00;;2;6.80
Hafer Espresso Macchiato;0;2;4.80;0.30 %;;1;2.40;;1;2.40
Lemon Verbena Tea;0;1;4.60;0.29 %;;1;4.60;;0;0.00
ReCup ausgeben_;0;4;4.00;0.25 %;;0;0.00;;4;4.00
Coldbrew;0;1;3.80;0.24 %;;0;0.00;;1;3.80
Milchschaum Kids;0;7;3.50;0.22 %;;6;3.00;;1;0.50
Espresso Doppio Macchiato;0;1;3.00;0.19 %;;0;0.00;;1;3.00
Americano groß;0;1;3.00;0.19 %;;0;0.00;;1;3.00
Decaf Espresso Macchiato;0;1;2.40;0.15 %;;1;2.40;;0;0.00
