;von;bis;;
Datum:;03.09.2022;03.09.2022;;
Enthalt Z;808;808;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2415.00;99.30 %;
Auslagen;;;17.00;0.70 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;17.00;0.70 %;
19.0%;;;1098.70;45.18 %;
7.0%;;;1316.30;54.12 %;
Total;;;2432.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;17.00;0.78 %;
19.0%;;;923.19;42.53 %;
7.0%;;;1230.26;56.68 %;
Total;;;2170.45;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;175.51;67.10 %;
7.0%;;;86.04;32.90 %;
Total;;;261.55;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;158;1009.30;41.50 %;0.00
Maestro;;81;816.70;33.58 %;0.00
MasterCard;;18;147.10;6.05 %;0.00
Visa;;41;346.90;14.26 %;0.00
Visa Electron;;13;112.00;4.61 %;0.00
Total;;311;2432.00;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna S.;;;587.90;24.34 %;0.00
Artyom;;;426.30;17.65 %;0.00
Mik;;;657.90;27.24 %;0.00
Raquel;;;77.20;3.20 %;0.00
Sofia;;;665.70;27.57 %;0.00
Total;;;2415.00;100.00 %;0.00
;;;;
Stornos;;;;;
Änderung durch Gast;;1;2.60;100.00 %;
Total;;1;2.60;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;5;6.10;100.00 %;
Total;;5;6.10;100.00 %;
;;;;
Tische;;;;;
Theke;;309;2432.00;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;531;1515.60;62.32 %;;219;720.70;;312;794.90
Speisen;;148;498.40;20.49 %;;93;319.00;;55;179.40
Sonstiges;;28;418.00;17.19 %;;4;45.00;;24;373.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;211;675.20;27.76 %;;79;280.20;;132;395.00
Speisen;;148;498.40;20.49 %;;93;319.00;;55;179.40
Hafer;;135;440.20;18.10 %;;63;237.60;;72;202.60
Röstkaffee;;26;396.00;16.28 %;;4;45.00;;22;351.00
Kaffee;;129;272.10;11.19 %;;47;131.20;;82;140.90
Summer;;17;64.80;2.66 %;;8;31.40;;9;33.40
Non Kaffee;;39;63.30;2.60 %;;22;40.30;;17;23.00
Equipment_;;2;22.00;0.90 %;;0;0.00;;2;22.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;64;217.60;8.95 %;;29;98.60;;35;119.00
Flat White;0;40;152.00;6.25 %;;16;60.80;;24;91.20
Hafer Cappuccino Groß;0;32;133.40;5.49 %;;16;67.20;;16;66.20
Hafer Cappuccino;0;37;125.80;5.17 %;;17;57.80;;20;68.00
Cappuccino groß;0;26;109.20;4.49 %;;11;46.20;;15;63.00
Banana Bread;0;25;95.00;3.91 %;;14;53.20;;11;41.80
Kanelbullar;0;27;85.60;3.52 %;;17;54.40;;10;31.20
Caffé Latte;0;21;75.60;3.11 %;;10;36.00;;11;39.60
MUYU 500g;0;4;72.00;2.96 %;;0;0.00;;4;72.00
RUGALI 250g;0;4;70.00;2.88 %;;0;0.00;;4;70.00
Hafer Flat White;0;18;68.40;2.81 %;;14;53.20;;4;15.20
Americano;0;20;56.00;2.30 %;;7;19.60;;13;36.40
Cookie;0;24;52.80;2.17 %;;14;30.80;;10;22.00
