;von;bis;;
Datum:;08.09.2022;08.09.2022;;
Enthalt Z;813;813;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1818.50;99.62 %;
Auslagen;;;7.00;0.38 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;7.00;0.38 %;
19.0%;;;674.70;36.96 %;
7.0%;;;1143.80;62.66 %;
Total;;;1825.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;7.00;0.43 %;
19.0%;;;566.94;34.51 %;
7.0%;;;1069.05;65.07 %;
Total;;;1642.99;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;107.76;59.04 %;
7.0%;;;74.75;40.96 %;
Total;;;182.51;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;134;705.60;38.65 %;0.00
Maestro;;55;601.90;32.97 %;0.00
MasterCard;;13;144.20;7.90 %;0.00
Visa;;19;167.70;9.19 %;0.00
Visa Electron;;17;206.10;11.29 %;0.00
Total;;238;1825.50;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;163.30;8.98 %;0.00
Annacotta;;;823.60;45.29 %;0.00
Clara;;;630.40;34.67 %;0.00
Mik;;;201.20;11.06 %;0.00
Total;;;1818.50;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;3;11.40;100.00 %;
Total;;3;11.40;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;3.30;100.00 %;
Total;;1;3.30;100.00 %;
;;;;
Tische;;;;;
Theke;;238;1825.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;382;1038.30;56.88 %;;106;368.40;;276;669.90
Sonstiges;;32;473.20;25.92 %;;3;37.50;;29;435.70
Speisen;;97;314.00;17.20 %;;29;94.00;;68;220.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;179;484.20;26.52 %;;44;161.40;;135;322.80
Röstkaffee;;32;473.20;25.92 %;;3;37.50;;29;435.70
Speisen;;97;314.00;17.20 %;;29;94.00;;68;220.00
Hafer;;94;278.40;15.25 %;;25;91.40;;69;187.00
Kaffee;;70;153.40;8.40 %;;14;37.00;;56;116.40
Summer;;19;77.00;4.22 %;;12;49.20;;7;27.80
Non Kaffee;;20;45.30;2.48 %;;11;29.40;;9;15.90
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;63;214.20;11.73 %;;21;71.40;;42;142.80
Hafer Cappuccino;0;40;136.00;7.45 %;;14;47.60;;26;88.40
MUYU 250g;0;8;76.00;4.16 %;;0;0.00;;8;76.00
Flat White;0;20;76.00;4.16 %;;5;19.00;;15;57.00
Cappuccino groß;0;18;75.60;4.14 %;;6;25.20;;12;50.40
Kanelbullar;0;23;73.60;4.03 %;;6;19.20;;17;54.40
MUYU 500g;0;4;72.00;3.94 %;;0;0.00;;4;72.00
CUERPO 1000g;0;2;68.00;3.73 %;;0;0.00;;2;68.00
Banana Bread;0;17;64.60;3.54 %;;10;38.00;;7;26.60
ATSABE 250g;0;5;64.20;3.52 %;;1;13.50;;4;50.70
Flat White auf Eis.;0;12;50.40;2.76 %;;8;33.60;;4;16.80
Caffé Latte;0;14;50.40;2.76 %;;7;25.20;;7;25.20
Hafer Flat White;0;13;49.40;2.71 %;;5;19.00;;8;30.40
Croissant;0;20;48.00;2.63 %;;3;7.20;;17;40.80
Flat White auf Eis;0;10;42.00;2.30 %;;3;12.60;;7;29.40
Pain au Chocolat;0;14;39.20;2.15 %;;4;11.20;;10;28.00
GERMAN CARRANZA 250g;0;2;39.00;2.14 %;;0;0.00;;2;39.00
CUERPO 250g;0;4;38.00;2.08 %;;0;0.00;;4;38.00
RUGALI 250g;0;2;35.00;1.92 %;;0;0.00;;2;35.00
Sapto Wening 250g;0;3;34.50;1.89 %;;1;11.50;;2;23.00
MUYU 1000g;0;1;34.00;1.86 %;;0;0.00;;1;34.00
Hafer Flat White auf Eis;0;7;29.40;1.61 %;;1;4.20;;6;25.20
Filterkaffee;0;11;28.60;1.57 %;;2;5.20;;9;23.40
Kakao;0;7;28.00;1.53 %;;2;8.00;;5;20.00
Americano;0;10;28.00;1.53 %;;2;5.60;;8;22.40
Espresso Single;0;12;26.40;1.45 %;;2;4.40;;10;22.00
Hafer Cappuccino Groß;0;6;25.20;1.38 %;;3;12.60;;3;12.60
Kuchen Maple Carrot;0;5;24.00;1.31 %;;1;4.80;;4;19.20
Americano groß;0;8;24.00;1.31 %;;2;6.00;;6;18.00
Sandwich Vegetarisch;0;5;24.00;1.31 %;;1;4.80;;4;19.20
Espresso Doppio;0;9;23.40;1.28 %;;4;10.40;;5;13.00
MIKOLAJ Limonade;0;6;22.80;1.25 %;;4;15.20;;2;7.60
ReCup ausgeben ´;0;20;20.00;1.10 %;;0;0.00;;20;20.00
Hafer Caffè Latte doppelt;0;5;20.00;1.10 %;;2;8.00;;3;12.00
Cookie;0;7;15.40;0.84 %;;4;8.80;;3;6.60
Cold Brew;0;4;15.20;0.83 %;;3;11.40;;1;3.80
ReCup ausgeben*;0;14;14.00;0.77 %;;0;0.00;;14;14.00
EL MORENO 250g;0;1;12.50;0.68 %;;1;12.50;;0;0.00
Espresso Macchiato;0;5;12.00;0.66 %;;1;2.40;;4;9.60
Lemon Poppy Cake;0;3;11.40;0.62 %;;0;0.00;;3;11.40
Sandwich Vegan;0;2;9.60;0.53 %;;0;0.00;;2;9.60
Lemon Verbena Tea;0;2;9.20;0.50 %;;2;9.20;;0;0.00
ReCup ausgeben_;0;9;9.00;0.49 %;;0;0.00;;9;9.00
Hafer Caffè Latte;0;2;7.20;0.39 %;;0;0.00;;2;7.20
Nitro Americano;0;2;7.20;0.39 %;;0;0.00;;2;7.20
Espresso Doppio Macchiato;0;2;6.00;0.33 %;;1;3.00;;1;3.00
Apfelschorle;0;2;6.00;0.33 %;;1;3.00;;1;3.00
Milchschaum Kids;0;9;4.50;0.25 %;;4;2.00;;5;2.50
Granola;0;1;4.20;0.23 %;;0;0.00;;1;4.20
Espresso Tonic;0;1;4.20;0.23 %;;1;4.20;;0;0.00
Caffé Latte doppelt;0;1;4.00;0.22 %;;0;0.00;;1;4.00
Hafer Kinder Kakao;0;1;3.20;0.18 %;;0;0.00;;1;3.20
Mineralwasser Sprudel;0;1;2.80;0.15 %;;0;0.00;;1;2.80
ReCup annehmen;0;4;-4.00;-0.22 %;;0;0.00;;4;-4.00
ReCup annehmen*;0;6;-6.00;-0.33 %;;0;0.00;;6;-6.00
ReCup annehmen ´;0;26;-26.00;-1.42 %;;0;0.00;;26;-26.00
;;;;
