;von;bis;;
Datum:;14.10.2022;14.10.2022;;
Enthalt Z;849;849;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1745.70;98.42 %;
Auslagen;;;28.00;1.58 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;28.00;1.58 %;
19.0%;;;920.88;51.92 %;
7.0%;;;824.82;46.50 %;
Total;;;1773.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;28.00;1.78 %;
19.0%;;;773.83;49.20 %;
7.0%;;;770.91;49.02 %;
Total;;;1572.74;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;147.05;73.17 %;
7.0%;;;53.91;26.83 %;
Total;;;200.96;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;141;750.50;42.31 %;0.00
Maestro;;48;501.20;28.26 %;0.00
MasterCard;;8;72.90;4.11 %;0.00
Mehrzweckgutschein;;1;4.20;0.24 %;0.00
Visa;;28;238.80;13.46 %;0.00
Visa Electron;;23;206.10;11.62 %;0.00
Total;;249;1773.70;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;184.00;10.54 %;0.00
Anna S.;;;757.70;43.40 %;0.00
Annacotta;;;281.50;16.13 %;0.00
Clara;;;468.10;26.81 %;0.00
Karolina;;;54.40;3.12 %;0.00
Total;;;1745.70;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;2;5.00;100.00 %;
Total;;2;5.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;10.70;100.00 %;
Total;;3;10.70;100.00 %;
;;;;
Tische;;;;;
Theke;;249;1773.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;448;1140.80;64.32 %;;235;764.90;;213;375.90
Speisen;;104;374.12;21.09 %;;68;250.00;;36;124.12
Sonstiges;;20;258.78;14.59 %;;5;60.50;;15;198.28
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;189;504.20;28.43 %;;83;292.60;;106;211.60
Speisen;;104;374.12;21.09 %;;68;250.00;;36;124.12
Hafer;;128;373.60;21.06 %;;78;282.60;;50;91.00
Röstkaffee;;17;232.00;13.08 %;;5;60.50;;12;171.50
Kaffee;;102;194.00;10.94 %;;52;130.80;;50;63.20
Non Kaffee;;22;41.40;2.33 %;;16;34.90;;6;6.50
Summer;;7;27.60;1.56 %;;6;24.00;;1;3.60
Equipment_;;3;26.78;1.51 %;;0;0.00;;3;26.78
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;61;207.40;11.69 %;;36;122.40;;25;85.00
Hafer Cappuccino;0;38;129.20;7.28 %;;28;95.20;;10;34.00
Hafer Flat White;0;28;106.40;6.00 %;;23;87.40;;5;19.00
Flat White;0;22;83.60;4.71 %;;13;49.40;;9;34.20
Banana Bread;0;22;82.70;4.66 %;;13;49.40;;9;33.30
Cappuccino groß;0;18;75.60;4.26 %;;11;46.20;;7;29.40
Caffé Latte;0;20;72.00;4.06 %;;12;43.20;;8;28.80
Croissant;0;23;55.20;3.11 %;;13;31.20;;10;24.00
Filterkaffee;0;21;54.60;3.08 %;;14;36.40;;7;18.20
Hafer Cappuccino Groß;0;13;54.60;3.08 %;;10;42.00;;3;12.60
CUERPO 500g;0;3;54.00;3.04 %;;1;18.00;;2;36.00
MUYU 500g;0;3;54.00;3.04 %;;0;0.00;;3;54.00
Kuchen Maple Carrot;0;10;48.00;2.71 %;;7;33.60;;3;14.40
