;von;bis;;
Datum:;22.10.2022;22.10.2022;;
Enthalt Z;857;857;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;3492.00;96.52 %;
Auslagen;;;126.00;3.48 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;126.00;3.48 %;
19.0%;;;1608.80;44.47 %;
7.0%;;;1883.20;52.05 %;
Total;;;3618.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;126.00;3.89 %;
19.0%;;;1351.96;41.75 %;
7.0%;;;1760.23;54.36 %;
Total;;;3238.19;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;256.84;67.62 %;
7.0%;;;122.97;32.38 %;
Total;;;379.81;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;219;1249.10;34.52 %;0.00
Maestro;;113;1228.90;33.97 %;0.00
MasterCard;;30;338.60;9.36 %;0.00
Mehrzweckgutschein;;2;17.00;0.47 %;0.00
Visa;;49;455.60;12.59 %;0.00
Visa Electron;;32;328.80;9.09 %;0.00
Total;;445;3618.00;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;653.00;18.70 %;0.00
Anna S.;;;2453.10;70.25 %;0.00
Annacotta;;;379.70;10.87 %;0.00
Mik;;;6.20;0.18 %;0.00
Total;;;3492.00;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;4;12.60;100.00 %;
Total;;4;12.60;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;445;3618.00;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;833;2310.60;63.86 %;;227;755.60;;606;1555.00
Sonstiges;;51;689.20;19.05 %;;1;9.50;;50;679.70
Speisen;;175;618.20;17.09 %;;89;304.40;;86;313.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;352;1011.60;27.96 %;;101;366.60;;251;645.00
Hafer;;281;863.00;23.85 %;;76;264.40;;205;598.60
Speisen;;175;618.20;17.09 %;;89;304.40;;86;313.80
Röstkaffee;;43;616.00;17.03 %;;1;9.50;;42;606.50
Kaffee;;146;291.60;8.06 %;;37;94.20;;109;197.40
Non Kaffee;;38;88.00;2.43 %;;11;22.60;;27;65.40
Gutscheine;;4;55.00;1.52 %;;0;0.00;;4;55.00
Summer;;12;46.80;1.29 %;;2;7.80;;10;39.00
Equipment_;;4;18.20;0.50 %;;0;0.00;;4;18.20
Decaf;;4;9.60;0.27 %;;0;0.00;;4;9.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;103;350.20;9.68 %;;47;159.80;;56;190.40
Hafer Cappuccino;0;81;275.40;7.61 %;;20;68.00;;61;207.40
Cappuccino groß;0;61;256.20;7.08 %;;23;96.60;;38;159.60
Hafer Cappuccino Groß;0;52;218.40;6.04 %;;18;75.60;;34;142.80
Hafer Flat White;0;42;159.60;4.41 %;;15;57.00;;27;102.60
Kanelbullar;0;48;153.60;4.25 %;;22;70.40;;26;83.20
Banana Bread;0;39;148.20;4.10 %;;19;72.20;;20;76.00
Flat White;0;35;133.00;3.68 %;;11;41.80;;24;91.20
MUYU 1000g;0;3;102.00;2.82 %;;0;0.00;;3;102.00
EL MORENO 250g;0;7;87.50;2.42 %;;0;0.00;;7;87.50
Caffé Latte;0;22;79.20;2.19 %;;7;25.20;;15;54.00
Pain au Chocolat;0;26;72.80;2.01 %;;16;44.80;;10;28.00
Hafer Flat White auf Eis;0;17;71.40;1.97 %;;4;16.80;;13;54.60
SIÉU SAO 250g;0;5;67.50;1.87 %;;0;0.00;;5;67.50
ReCup ausgeben ´;0;65;65.00;1.80 %;;3;3.00;;62;62.00
Flat White auf Eis;0;15;63.00;1.74 %;;5;21.00;;10;42.00
NY cheesecake;0;13;62.40;1.72 %;;3;14.40;;10;48.00
Hafer Caffè Latte;0;17;61.20;1.69 %;;6;21.60;;11;39.60
EL CARMEN Decaf 250g;0;5;57.50;1.59 %;;0;0.00;;5;57.50
CUERPO 250g;0;6;57.00;1.58 %;;1;9.50;;5;47.50
MUYU 500g;0;3;54.00;1.49 %;;0;0.00;;3;54.00
Americano groß;0;18;54.00;1.49 %;;6;18.00;;12;36.00
Americano;0;19;53.20;1.47 %;;6;16.80;;13;36.40
Filterkaffee;0;20;52.00;1.44 %;;9;23.40;;11;28.60
Croissant;0;21;50.40;1.39 %;;14;33.60;;7;16.80
Kuchen Maple Carrot;0;10;48.00;1.33 %;;0;0.00;;10;48.00
Kakao normal gr;0;11;44.00;1.22 %;;1;4.00;;10;40.00
CHAKRA WARMI 250g;0;3;43.50;1.20 %;;0;0.00;;3;43.50
ReCup ausgeben*;0;39;39.00;1.08 %;;5;5.00;;34;34.00
MUYU 250g;0;4;38.00;1.05 %;;0;0.00;;4;38.00
Espresso Single;0;16;35.20;0.97 %;;6;13.20;;10;22.00
LUIS ANIBAL;0;2;35.00;0.97 %;;0;0.00;;2;35.00
Caffé Latte doppelt;0;8;32.00;0.88 %;;3;12.00;;5;20.00
10€ Gutschein;0;3;30.00;0.83 %;;0;0.00;;3;30.00
Sandwich Vegetarisch;0;6;28.80;0.80 %;;6;28.80;;0;0.00
Sandwich Vegan;0;6;28.80;0.80 %;;4;19.20;;2;9.60
Espresso Macchiato;0;11;26.40;0.73 %;;2;4.80;;9;21.60
ReCup ausgeben_;0;26;26.00;0.72 %;;0;0.00;;26;26.00
Espresso Doppio;0;10;26.00;0.72 %;;3;7.80;;7;18.20
Espresso Tonic;0;6;25.20;0.70 %;;1;4.20;;5;21.00
Granola;0;6;25.20;0.70 %;;5;21.00;;1;4.20
25€ Gutschein;0;1;25.00;0.69 %;;0;0.00;;1;25.00
Apfelschorle;0;8;24.00;0.66 %;;0;0.00;;8;24.00
Hafer Caffè Latte doppelt;0;6;24.00;0.66 %;;3;12.00;;3;12.00
Black Tea;0;5;23.00;0.64 %;;1;4.60;;4;18.40
Sapto Wening 250g;0;2;23.00;0.64 %;;0;0.00;;2;23.00
Nitro Americano;0;6;21.60;0.60 %;;1;3.60;;5;18.00
Espresso Doppio Macchiato;0;7;21.00;0.58 %;;1;3.00;;6;18.00
GERMAN CARRANZA 250g;0;1;19.50;0.54 %;;0;0.00;;1;19.50
CUERPO 500g;0;1;18.00;0.50 %;;0;0.00;;1;18.00
Kinder Kakao;0;5;16.00;0.44 %;;1;3.20;;4;12.80
Hafer Kakao;0;4;16.00;0.44 %;;2;8.00;;2;8.00
Lemon Verbena Tea;0;3;13.80;0.38 %;;2;9.20;;1;4.60
Hand Brew;0;3;13.80;0.38 %;;2;9.20;;1;4.60
MUYU BOTTLE 365;0;1;13.50;0.37 %;;0;0.00;;1;13.50
Hafer Espresso Macchiato;0;5;12.00;0.33 %;;1;2.40;;4;9.60
Mineralwasser Sprudel;0;4;11.20;0.31 %;;1;2.80;;3;8.40
TASCHE;0;1;9.50;0.26 %;;0;0.00;;1;9.50
Fritz Cola;0;3;9.00;0.25 %;;1;3.00;;2;6.00
Minor Figures 1l;0;3;8.70;0.24 %;;0;0.00;;3;8.70
Decaf Flat White;0;2;7.60;0.21 %;;0;0.00;;2;7.60
Milchschaum Kids;0;12;6.00;0.17 %;;6;3.00;;6;3.00
Hafer Espresso Macchiato doppelt;0;1;3.00;0.08 %;;0;0.00;;1;3.00
Deckel ReCup;0;2;2.00;0.06 %;;0;0.00;;2;2.00
ReCup ausgeben* 1;0;2;2.00;0.06 %;;0;0.00;;2;2.00
ReCup annehmen **;0;1;-1.00;-0.03 %;;0;0.00;;1;-1.00
ReCup annehmen;0;16;-16.00;-0.44 %;;2;-2.00;;14;-14.00
ReCup annehmen*;0;17;-17.00;-0.47 %;;2;-2.00;;15;-15.00
ReCup annehmen ´;0;27;-27.00;-0.75 %;;0;0.00;;27;-27.00
;;;;
