;von;bis;;
Datum:;24.10.2022;24.10.2022;;
Enthalt Z;859;859;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1385.40;96.44 %;
Auslagen;;;49.00;3.41 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.20;0.15 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;49.00;3.42 %;
19.0%;;;659.70;45.99 %;
7.0%;;;725.70;50.59 %;
Total;;;1434.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;49.00;3.82 %;
19.0%;;;554.35;43.25 %;
7.0%;;;678.30;52.92 %;
Total;;;1281.65;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;105.35;68.97 %;
7.0%;;;47.40;31.03 %;
Total;;;152.75;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;110;659.70;45.99 %;0.00
Maestro;;46;410.90;28.65 %;0.80
MasterCard;;14;139.30;9.71 %;0.00
Mehrzweckgutschein;;2;9.80;0.68 %;0.00
Visa;;17;130.60;9.10 %;0.00
Visa Electron;;8;84.10;5.86 %;1.40
Total;;197;1434.40;100.00 %;2.20
;;;;
Umsatzdetails;;;;;
Anna S.;;;89.20;6.44 %;0.00
Artyom;;;196.20;14.16 %;0.00
Jairo;;;67.50;4.87 %;0.00
Lena P.;;;277.10;20.00 %;0.00
Slobo;;;755.40;54.53 %;2.20
Total;;;1385.40;100.00 %;2.20
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;2;4.30;100.00 %;
Total;;2;4.30;100.00 %;
;;;;
Tische;;;;;
Theke;;196;1434.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;325;822.80;57.36 %;;129;429.00;;196;393.80
Sonstiges;;21;338.00;23.56 %;;3;52.00;;18;286.00
Speisen;;78;273.60;19.07 %;;44;170.40;;34;103.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;147;352.80;24.60 %;;48;177.40;;99;175.40
Speisen;;78;273.60;19.07 %;;44;170.40;;34;103.20
Hafer;;84;262.40;18.29 %;;43;152.00;;41;110.40
Röstkaffee;;16;259.00;18.06 %;;2;27.00;;14;232.00
Kaffee;;68;166.60;11.61 %;;27;78.00;;41;88.60
Equipment_;;3;44.00;3.07 %;;0;0.00;;3;44.00
Gutscheine;;2;35.00;2.44 %;;1;25.00;;1;10.00
Non Kaffee;;24;33.80;2.36 %;;11;21.60;;13;12.20
Summer;;2;7.20;0.50 %;;0;0.00;;2;7.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;41;139.40;9.72 %;;21;71.40;;20;68.00
Hafer Cappuccino;0;35;119.00;8.30 %;;23;78.20;;12;40.80
Cappuccino groß;0;16;67.20;4.68 %;;10;42.00;;6;25.20
Caffé Latte;0;16;57.60;4.02 %;;5;18.00;;11;39.60
Hafer Flat White;0;15;57.00;3.97 %;;10;38.00;;5;19.00
Banana Bread;0;14;53.20;3.71 %;;7;26.60;;7;26.60
EL MORENO 250g;0;4;50.00;3.49 %;;0;0.00;;4;50.00
Kuchen Maple Carrot;0;10;48.00;3.35 %;;9;43.20;;1;4.80
Hafer Cappuccino Groß;0;11;46.20;3.22 %;;4;16.80;;7;29.40
Flat White;0;11;41.80;2.91 %;;7;26.60;;4;15.20
Kanelbullar;0;13;40.80;2.84 %;;8;25.60;;5;15.20
Croissant;0;17;40.80;2.84 %;;6;14.40;;11;26.40
Americano;0;14;39.20;2.73 %;;7;19.60;;7;19.60
Hand Brew;0;8;36.80;2.57 %;;4;18.40;;4;18.40
LUIS ANIBAL;0;2;35.00;2.44 %;;1;17.50;;1;17.50
CUERPO 1000g;0;1;34.00;2.37 %;;0;0.00;;1;34.00
MUYU 1000g;0;1;34.00;2.37 %;;0;0.00;;1;34.00
Pain au Chocolat;0;11;30.80;2.15 %;;3;8.40;;8;22.40
MUYU 250g;0;3;28.50;1.99 %;;0;0.00;;3;28.50
ReCup ausgeben ´;0;28;28.00;1.95 %;;0;0.00;;28;28.00
Filterkaffee;0;10;26.00;1.81 %;;5;13.00;;5;13.00
25€ Gutschein;0;1;25.00;1.74 %;;1;25.00;;0;0.00
EL MORENO 500g;0;1;24.00;1.67 %;;0;0.00;;1;24.00
NY cheesecake;0;5;24.00;1.67 %;;5;24.00;;0;0.00
CANEPHORA Buch;0;1;22.50;1.57 %;;0;0.00;;1;22.50
Espresso Doppio;0;7;18.20;1.27 %;;2;5.20;;5;13.00
CUERPO 500g;0;1;18.00;1.25 %;;0;0.00;;1;18.00
Lemon Verbena Tea;0;4;16.10;1.12 %;;2;9.20;;2;6.90
Caffé Latte doppelt;0;4;16.00;1.12 %;;2;8.00;;2;8.00
Espresso Single;0;7;15.40;1.07 %;;5;11.00;;2;4.40
BREW Buch;0;1;14.50;1.01 %;;0;0.00;;1;14.50
CHAKRA WARMI 250g;0;1;14.50;1.01 %;;0;0.00;;1;14.50
Sandwich Vegetarisch;0;3;14.40;1.00 %;;3;14.40;;0;0.00
Sandwich Vegan;0;3;13.20;0.92 %;;2;9.60;;1;3.60
Hafer Flat White auf Eis;0;3;12.60;0.88 %;;2;8.40;;1;4.20
Kakao normal gr;0;3;12.00;0.84 %;;1;4.00;;2;8.00
Espresso Macchiato;0;5;12.00;0.84 %;;2;4.80;;3;7.20
Sapto Wening 250g;0;1;11.50;0.80 %;;0;0.00;;1;11.50
Mineralwasser Sprudel;0;4;11.20;0.78 %;;3;8.40;;1;2.80
10€ Gutschein;0;1;10.00;0.70 %;;0;0.00;;1;10.00
ReCup ausgeben*;0;10;10.00;0.70 %;;0;0.00;;10;10.00
CUERPO 250g;0;1;9.50;0.66 %;;1;9.50;;0;0.00
Americano groß;0;3;9.00;0.63 %;;0;0.00;;3;9.00
Flat White auf Eis;0;2;8.40;0.59 %;;1;4.20;;1;4.20
Granola;0;2;8.40;0.59 %;;1;4.20;;1;4.20
ReCup ausgeben_;0;8;8.00;0.56 %;;0;0.00;;8;8.00
Hafer Kakao;0;2;8.00;0.56 %;;1;4.00;;1;4.00
Hafer Caffè Latte;0;2;7.20;0.50 %;;1;3.60;;1;3.60
Nitro Americano;0;2;7.20;0.50 %;;0;0.00;;2;7.20
AeroPress filter;0;1;7.00;0.49 %;;0;0.00;;1;7.00
Kinder Kakao;0;2;6.40;0.45 %;;1;3.20;;1;3.20
Espresso Doppio Macchiato;0;2;6.00;0.42 %;;2;6.00;;0;0.00
ReCup ausgeben **;0;4;4.00;0.28 %;;0;0.00;;4;4.00
Hafer Caffè Latte doppelt;0;1;4.00;0.28 %;;1;4.00;;0;0.00
Milchschaum Kids;0;7;3.50;0.24 %;;4;2.00;;3;1.50
Fritz Cola;0;1;3.00;0.21 %;;1;3.00;;0;0.00
Hafer Espresso Macchiato;0;1;2.40;0.17 %;;0;0.00;;1;2.40
ReCup annehmen;0;4;-4.00;-0.28 %;;0;0.00;;4;-4.00
ReCup annehmen*;0;4;-4.00;-0.28 %;;1;-1.00;;3;-3.00
ReCup annehmen **;0;4;-4.00;-0.28 %;;1;-1.00;;3;-3.00
ReCup annehmen ´;0;24;-24.00;-1.67 %;;0;0.00;;24;-24.00
;;;;
