;von;bis;;
Datum:;25.10.2022;25.10.2022;;
Enthalt Z;860;860;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2001.90;95.38 %;
Auslagen;;;97.00;4.62 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;97.00;4.62 %;
19.0%;;;888.56;42.33 %;
7.0%;;;1113.34;53.04 %;
Total;;;2098.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;97.00;5.15 %;
19.0%;;;746.67;39.63 %;
7.0%;;;1040.55;55.22 %;
Total;;;1884.22;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;141.89;66.09 %;
7.0%;;;72.79;33.91 %;
Total;;;214.68;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;146;868.20;41.36 %;0.00
Maestro;;65;606.10;28.88 %;0.00
MasterCard;;20;228.00;10.86 %;0.00
Mehrzweckgutschein;;2;8.60;0.41 %;0.00
Visa;;28;235.00;11.20 %;0.00
Visa Electron;;17;153.00;7.29 %;0.00
Total;;278;2098.90;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Artyom;;;515.80;25.77 %;0.00
Jairo;;;274.90;13.73 %;0.00
Lena R.;;;77.90;3.89 %;0.00
Robin;;;768.10;38.37 %;0.00
Slobo;;;365.20;18.24 %;0.00
Total;;;2001.90;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;3.80;100.00 %;
Total;;1;3.80;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;7.80;100.00 %;
Total;;3;7.80;100.00 %;
;;;;
Tische;;;;;
Theke;;277;2098.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;429;1191.80;56.78 %;;118;390.80;;311;801.00
Sonstiges;;35;560.00;26.68 %;;1;12.50;;34;547.50
Speisen;;100;347.10;16.54 %;;35;115.20;;65;231.90
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;174;527.40;25.13 %;;55;197.60;;119;329.80
Röstkaffee;;28;427.64;20.37 %;;1;12.50;;27;415.14
Hafer;;136;407.20;19.40 %;;24;87.80;;112;319.40
Speisen;;100;347.10;16.54 %;;35;115.20;;65;231.90
Kaffee;;83;204.40;9.74 %;;30;84.80;;53;119.60
Gutscheine;;4;80.00;3.81 %;;0;0.00;;4;80.00
Equipment_;;3;52.36;2.49 %;;0;0.00;;3;52.36
Non Kaffee;;33;41.40;1.97 %;;8;17.00;;25;24.40
Summer;;3;11.40;0.54 %;;1;3.60;;2;7.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;69;234.60;11.18 %;;26;88.40;;43;146.20
Hafer Cappuccino;0;44;149.60;7.13 %;;14;47.60;;30;102.00
Cappuccino groß;0;21;88.20;4.20 %;;7;29.40;;14;58.80
Hafer Flat White;0;23;87.40;4.16 %;;2;7.60;;21;79.80
Banana Bread;0;22;83.60;3.98 %;;6;22.80;;16;60.80
GERMAN CARRANZA 250g;0;4;73.14;3.48 %;;0;0.00;;4;73.14
CHAKRA WARMI 250g;0;5;72.50;3.45 %;;0;0.00;;5;72.50
Flat White;0;19;72.20;3.44 %;;5;19.00;;14;53.20
Caffé Latte;0;19;68.40;3.26 %;;11;39.60;;8;28.80
Pain au Chocolat;0;24;66.50;3.17 %;;5;14.00;;19;52.50
Hafer Cappuccino Groß;0;15;63.00;3.00 %;;5;21.00;;10;42.00
Kanelbullar;0;17;53.60;2.55 %;;5;16.00;;12;37.60
50€ Gutschein;0;1;50.00;2.38 %;;0;0.00;;1;50.00
Filterkaffee;0;19;49.40;2.35 %;;4;10.40;;15;39.00
Kuchen Maple Carrot;0;10;48.00;2.29 %;;4;19.20;;6;28.80
Hario tea dripper largo;0;1;48.00;2.29 %;;0;0.00;;1;48.00
Hafer Caffè Latte;0;13;46.80;2.23 %;;1;3.60;;12;43.20
EL MORENO 250g;0;3;37.50;1.79 %;;1;12.50;;2;25.00
LUIS ANIBAL;0;2;35.00;1.67 %;;0;0.00;;2;35.00
Sapto Wening 250g;0;3;34.50;1.64 %;;0;0.00;;3;34.50
CUERPO 1000g;0;1;34.00;1.62 %;;0;0.00;;1;34.00
Croissant;0;14;33.60;1.60 %;;12;28.80;;2;4.80
Americano;0;12;33.60;1.60 %;;6;16.80;;6;16.80
Kakao normal gr;0;8;32.00;1.52 %;;3;12.00;;5;20.00
10€ Gutschein;0;3;30.00;1.43 %;;0;0.00;;3;30.00
NY cheesecake;0;6;28.80;1.37 %;;2;9.60;;4;19.20
CUERPO 250g;0;3;28.50;1.36 %;;0;0.00;;3;28.50
Espresso Doppio Macchiato;0;9;27.00;1.29 %;;5;15.00;;4;12.00
EL MORENO 500g;0;1;24.00;1.14 %;;0;0.00;;1;24.00
Hand Brew;0;5;23.00;1.10 %;;5;23.00;;0;0.00
EL CARMEN Decaf 500g;0;1;22.00;1.05 %;;0;0.00;;1;22.00
MUYU 250g;0;2;19.00;0.91 %;;0;0.00;;2;19.00
ReCup ausgeben*;0;19;19.00;0.91 %;;0;0.00;;19;19.00
MUYU 500g;0;1;18.00;0.86 %;;0;0.00;;1;18.00
CUERPO 500g;0;1;18.00;0.86 %;;0;0.00;;1;18.00
Espresso Single;0;8;17.60;0.84 %;;4;8.80;;4;8.80
Flat White auf Eis;0;4;16.80;0.80 %;;1;4.20;;3;12.60
Espresso Macchiato;0;7;16.80;0.80 %;;0;0.00;;7;16.80
Hafer Flat White auf Eis;0;4;16.80;0.80 %;;0;0.00;;4;16.80
ReCup ausgeben ´;0;15;15.00;0.71 %;;1;1.00;;14;14.00
Americano groß;0;5;15.00;0.71 %;;1;3.00;;4;12.00
Fritz Cola;0;5;15.00;0.71 %;;1;3.00;;4;12.00
Sandwich Vegetarisch;0;3;14.40;0.69 %;;1;4.80;;2;9.60
Sandwich Vegan;0;3;14.40;0.69 %;;0;0.00;;3;14.40
Espresso Doppio;0;5;13.00;0.62 %;;3;7.80;;2;5.20
Hafer Kakao;0;3;12.00;0.57 %;;1;4.00;;2;8.00
Caffé Latte doppelt;0;3;12.00;0.57 %;;1;4.00;;2;8.00
Hafer Caffè Latte doppelt;0;3;12.00;0.57 %;;1;4.00;;2;8.00
EL CARMEN Decaf 250g;0;1;11.50;0.55 %;;0;0.00;;1;11.50
ReCup ausgeben_;0;11;11.00;0.52 %;;1;1.00;;10;10.00
Hafer Kinder Kakao;0;3;9.60;0.46 %;;0;0.00;;3;9.60
Black Tea;0;2;9.20;0.44 %;;2;9.20;;0;0.00
Nitro Americano;0;2;7.20;0.34 %;;1;3.60;;1;3.60
Milchschaum Kids;0;12;6.00;0.29 %;;4;2.00;;8;4.00
Mineralwasser Sprudel;0;2;5.60;0.27 %;;1;2.80;;1;2.80
Lemon Verbena Tea;0;1;4.60;0.22 %;;0;0.00;;1;4.60
Minor Figures 1l;0;2;4.36;0.21 %;;0;0.00;;2;4.36
Granola;0;1;4.20;0.20 %;;0;0.00;;1;4.20
Espresso Tonic;0;1;4.20;0.20 %;;0;0.00;;1;4.20
ReCup ausgeben **;0;4;4.00;0.19 %;;0;0.00;;4;4.00
Kinder Kakao;0;1;3.20;0.15 %;;0;0.00;;1;3.20
Apfelschorle;0;1;3.00;0.14 %;;0;0.00;;1;3.00
ReCup annehmen;0;2;-2.00;-0.10 %;;1;-1.00;;1;-1.00
ReCup annehmen **;0;6;-6.00;-0.29 %;;0;0.00;;6;-6.00
ReCup annehmen*;0;9;-9.00;-0.43 %;;0;0.00;;9;-9.00
ReCup annehmen ´;0;15;-15.00;-0.71 %;;0;0.00;;15;-15.00
;;;;
