;von;bis;;
Datum:;06.11.2022;06.11.2022;;
Enthalt Z;873;873;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2103.76;99.06 %;
Auslagen;;;20.00;0.94 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;20.00;0.94 %;
19.0%;;;1078.66;50.79 %;
7.0%;;;1025.10;48.27 %;
Total;;;2123.76;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;20.00;1.06 %;
19.0%;;;906.49;48.10 %;
7.0%;;;958.04;50.84 %;
Total;;;1884.53;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;172.17;71.97 %;
7.0%;;;67.06;28.03 %;
Total;;;239.23;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;153;867.30;40.84 %;0.00
Maestro;;62;542.50;25.54 %;0.00
MasterCard;;19;168.16;7.92 %;0.00
Mehrzweckgutschein;;3;2.50;0.12 %;0.00
Visa;;32;335.90;15.82 %;0.00
Visa Electron;;18;207.40;9.77 %;0.00
Total;;287;2123.76;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Angi;;;1301.40;61.86 %;0.00
Anna;;;52.70;2.51 %;0.00
Anna S.;;;242.06;11.51 %;0.00
Annacotta;;;212.00;10.08 %;0.00
Emanuel;;;0.00;0.00 %;0.00
Mik;;;8.10;0.39 %;0.00
Slobo;;;287.50;13.67 %;0.00
Total;;;2103.76;100.00 %;0.00
;;;;
Stornos;;;;;
Änderung durch Gast;;1;10.50;100.00 %;
Total;;1;10.50;100.00 %;
;;;;
Rabatte;;;;;
Staff Equipment;;1;1.74;25.44 %;
Staff Beans & Food 25%;;2;5.10;74.56 %;
Total;;3;6.84;100.00 %;
;;;;
Tische;;;;;
Theke;;284;2123.76;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;559;1424.70;67.08 %;;197;599.50;;362;825.20
Speisen;;132;482.00;22.70 %;;42;148.40;;90;333.60
Sonstiges;;19;217.06;10.22 %;;1;13.50;;18;203.56
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer;;217;576.60;27.15 %;;75;235.60;;142;341.00
Milchmischgetränke;;212;565.70;26.64 %;;72;243.60;;140;322.10
Speisen;;132;482.00;22.70 %;;42;148.40;;90;333.60
Röstkaffee;;17;213.00;10.03 %;;1;13.50;;16;199.50
Kaffee;;102;212.20;9.99 %;;38;85.00;;64;127.20
Non Kaffee;;27;66.60;3.14 %;;11;31.70;;16;34.90
Equipment_;;2;4.06;0.19 %;;0;0.00;;2;4.06
Decaf;;1;3.60;0.17 %;;1;3.60;;0;0.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer Cappuccino;0;50;180.00;8.48 %;;18;64.80;;32;115.20
Cappuccino;0;46;164.70;7.76 %;;19;68.40;;27;96.30
Banana Bread;0;40;152.00;7.16 %;;17;64.60;;23;87.40
Hafer Cappuccino Groß;0;35;147.00;6.92 %;;14;58.80;;21;88.20
Flat White;0;31;124.00;5.84 %;;11;44.00;;20;80.00
Cappuccino groß;0;28;117.60;5.54 %;;12;50.40;;16;67.20
Hafer Flat White;0;26;104.00;4.90 %;;15;60.00;;11;44.00
RUMUKIA 250g;0;6;81.00;3.81 %;;1;13.50;;5;67.50
Filterkaffee;0;22;66.00;3.11 %;;9;27.00;;13;39.00
Kanelbullar;0;20;64.00;3.01 %;;5;16.00;;15;48.00
Kakao normal gr;0;15;63.00;2.97 %;;5;21.00;;10;42.00
Pain au Chocolat;0;19;53.20;2.50 %;;8;22.40;;11;30.80
Kuchen Maple Carrot;0;10;48.00;2.26 %;;0;0.00;;10;48.00
NY cheesecake;0;10;48.00;2.26 %;;0;0.00;;10;48.00
Caffé Latte;0;12;45.60;2.15 %;;7;26.60;;5;19.00
ReCup ausgeben*;0;44;44.00;2.07 %;;12;12.00;;32;32.00
MUYU 250g;0;4;42.00;1.98 %;;0;0.00;;4;42.00
Caffé Latte doppelt;0;10;42.00;1.98 %;;6;25.20;;4;16.80
Chai Oat;0;9;39.60;1.86 %;;1;4.40;;8;35.20
Americano;0;13;39.00;1.84 %;;5;15.00;;8;24.00
EL MORENO 250g;0;3;37.50;1.77 %;;0;0.00;;3;37.50
ReCup ausgeben ´;0;34;34.00;1.60 %;;10;10.00;;24;24.00
Lemon Verbena Tea;0;7;32.20;1.52 %;;2;9.20;;5;23.00
Lemon Poppy Cake;0;8;30.40;1.43 %;;2;7.60;;6;22.80
Hafer Caffè Latte doppelt;0;7;29.40;1.38 %;;2;8.40;;5;21.00
Sandwich Vegetarisch;0;6;28.80;1.36 %;;4;19.20;;2;9.60
Croissant;0;12;28.20;1.33 %;;4;9.60;;8;18.60
Sandwich Vegan;0;6;25.20;1.19 %;;1;4.80;;5;20.40
Espresso Macchiato;0;9;23.40;1.10 %;;5;13.00;;4;10.40
Hafer Caffè Latte;0;6;22.80;1.07 %;;2;7.60;;4;15.20
CUERPO 500g;0;1;20.00;0.94 %;;0;0.00;;1;20.00
Americano groß;0;6;19.20;0.90 %;;1;3.20;;5;16.00
ReCup ausgeben_;0;17;17.00;0.80 %;;5;5.00;;12;12.00
Espresso Single;0;7;16.80;0.79 %;;0;0.00;;7;16.80
Hafer Kakao Groß;0;4;16.80;0.79 %;;1;4.20;;3;12.60
Espresso Doppio;0;6;16.80;0.79 %;;3;8.40;;3;8.40
Espresso Doppio Macchiato;0;5;16.00;0.75 %;;2;6.40;;3;9.60
EL CARMEN Decaf 250g;0;1;11.50;0.54 %;;0;0.00;;1;11.50
CUERPO 250g;0;1;10.50;0.49 %;;0;0.00;;1;10.50
FAZENDA IP 250g;0;1;10.50;0.49 %;;0;0.00;;1;10.50
Hafer Espresso Macchiato;0;4;10.40;0.49 %;;3;7.80;;1;2.60
Apfelschorle;0;3;9.60;0.45 %;;3;9.60;;0;0.00
Hand Brew;0;2;9.60;0.45 %;;2;9.60;;0;0.00
Flat White auf Eis;0;2;8.80;0.41 %;;0;0.00;;2;8.80
Ingwer Minze;0;2;8.40;0.40 %;;2;8.40;;0;0.00
Hafer Kinder Kakao;0;2;7.20;0.34 %;;2;7.20;;0;0.00
Green Tea;0;1;4.60;0.22 %;;0;0.00;;1;4.60
Hafer Flat White auf Eis;0;1;4.40;0.21 %;;1;4.40;;0;0.00
Granola;0;1;4.20;0.20 %;;1;4.20;;0;0.00
Minor Figures 1l;0;2;4.06;0.19 %;;0;0.00;;2;4.06
Milchschaum Kids;0;8;4.00;0.19 %;;3;1.50;;5;2.50
Decaf Cappuccino;0;1;3.60;0.17 %;;1;3.60;;0;0.00
Mineralwasser Sprudel;0;1;3.00;0.14 %;;1;3.00;;0;0.00
Fritz Cola;0;1;2.80;0.13 %;;0;0.00;;1;2.80
ReCup ausgeben **;0;2;2.00;0.09 %;;0;0.00;;2;2.00
Extra Shot;0;2;1.40;0.07 %;;2;1.40;;0;0.00
Deckel ReCup;0;1;1.00;0.05 %;;0;0.00;;1;1.00
ReCup annehmen **;0;1;-1.00;-0.05 %;;0;0.00;;1;-1.00
ReCup annehmen;0;13;-13.00;-0.61 %;;4;-4.00;;9;-9.00
ReCup annehmen*;0;29;-29.00;-1.37 %;;4;-4.00;;25;-25.00
ReCup annehmen ´;0;34;-34.00;-1.60 %;;2;-2.00;;32;-32.00
;;;;
