;von;bis;;
Datum:;01.12.2022;01.12.2022;;
Enthalt Z;900;900;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1420.10;97.33 %;
Auslagen;;;39.00;2.67 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;39.00;2.67 %;
19.0%;;;738.50;50.61 %;
7.0%;;;681.60;46.71 %;
Total;;;1459.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;39.00;3.01 %;
19.0%;;;620.59;47.86 %;
7.0%;;;637.02;49.13 %;
Total;;;1296.61;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;117.91;72.56 %;
7.0%;;;44.58;27.44 %;
Total;;;162.49;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;91;572.90;39.26 %;0.00
Maestro;;53;506.10;34.69 %;0.00
MasterCard;;14;126.60;8.68 %;0.00
Visa;;17;188.20;12.90 %;0.00
Visa Electron;;9;65.30;4.48 %;0.00
Total;;184;1459.10;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;331.00;23.31 %;0.00
Clara;;;594.10;41.84 %;0.00
Moritz;;;3.20;0.23 %;0.00
Raquel;;;20.00;1.41 %;0.00
Slobo;;;471.80;33.22 %;0.00
Total;;;1420.10;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;3.30;100.00 %;
Total;;1;3.30;100.00 %;
;;;;
Tische;;;;;
Theke;;183;1459.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;276;775.50;53.15 %;;156;542.20;;120;233.30
Sonstiges;;33;497.20;34.08 %;;1;11.50;;32;485.70
Speisen;;56;186.40;12.77 %;;31;110.00;;25;76.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;27;401.20;27.50 %;;1;11.50;;26;389.70
Milchmischgetränke;;90;268.00;18.37 %;;48;181.20;;42;86.80
Hafer;;89;261.60;17.93 %;;48;174.20;;41;87.40
Speisen;;56;186.40;12.77 %;;31;110.00;;25;76.40
Kaffee;;67;153.10;10.49 %;;39;115.90;;28;37.20
Non Kaffee;;22;61.40;4.21 %;;16;50.50;;6;10.90
Equipment_;;2;56.00;3.84 %;;0;0.00;;2;56.00
Gutscheine;;4;40.00;2.74 %;;0;0.00;;4;40.00
Specials;;7;27.60;1.89 %;;5;20.40;;2;7.20
Decaf;;1;3.80;0.26 %;;0;0.00;;1;3.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer Cappuccino;0;34;122.40;8.39 %;;22;79.20;;12;43.20
Cappuccino;0;27;97.20;6.66 %;;24;86.40;;3;10.80
Hafer Flat White;0;22;88.00;6.03 %;;16;64.00;;6;24.00
Cappuccino groß;0;18;75.60;5.18 %;;11;46.20;;7;29.40
MUYU 500g;0;3;60.00;4.11 %;;0;0.00;;3;60.00
TASSE M;0;2;56.00;3.84 %;;0;0.00;;2;56.00
L.A.C. Red;0;3;52.50;3.60 %;;0;0.00;;3;52.50
EL MORENO 250g;0;4;50.00;3.43 %;;0;0.00;;4;50.00
Banana Bread;0;12;45.60;3.13 %;;6;22.80;;6;22.80
Flat White;0;11;44.00;3.02 %;;6;24.00;;5;20.00
