;von;bis;;
Datum:;10.12.2022;10.12.2022;;
Enthalt Z;910;910;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;3272.10;97.41 %;
Auslagen;;;87.00;2.59 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;87.00;2.59 %;
19.0%;;;1203.40;35.83 %;
7.0%;;;2068.70;61.58 %;
Total;;;3359.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;87.00;2.87 %;
19.0%;;;1011.33;33.36 %;
7.0%;;;1933.45;63.77 %;
Total;;;3031.78;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;192.07;58.68 %;
7.0%;;;135.25;41.32 %;
Total;;;327.32;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;174;1158.80;34.50 %;0.00
Maestro;;75;1011.40;30.11 %;0.00
MasterCard;;13;172.50;5.14 %;0.00
Mehrzweckgutschein;;2;8.60;0.26 %;0.00
Visa;;41;602.60;17.94 %;0.00
Visa Electron;;26;405.20;12.06 %;0.00
Total;;331;3359.10;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;623.90;19.07 %;0.00
Clara;;;1453.60;44.42 %;0.00
Laura;;;182.20;5.57 %;0.00
Lena P.;;;485.70;14.84 %;0.00
Mik;;;526.70;16.10 %;0.00
Total;;;3272.10;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;329;3359.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;576;1675.70;49.89 %;;182;631.40;;394;1044.30
Sonstiges;;86;1254.00;37.33 %;;6;83.50;;80;1170.50
Speisen;;120;429.40;12.78 %;;41;156.20;;79;273.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;76;1158.00;34.47 %;;4;68.50;;72;1089.50
Milchmischgetränke;;248;761.00;22.65 %;;78;287.60;;170;473.40
Hafer;;173;540.80;16.10 %;;59;209.40;;114;331.40
Speisen;;120;429.40;12.78 %;;41;156.20;;79;273.20
Kaffee;;115;296.90;8.84 %;;37;110.40;;78;186.50
Non Kaffee;;35;58.20;1.73 %;;6;17.20;;29;41.00
Gutscheine;;7;55.00;1.64 %;;2;15.00;;5;40.00
Equipment_;;3;41.00;1.22 %;;0;0.00;;3;41.00
Decaf;;3;10.40;0.31 %;;2;6.80;;1;3.60
Specials;;2;8.40;0.25 %;;0;0.00;;2;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;90;324.00;9.65 %;;40;144.00;;50;180.00
Hafer Cappuccino;0;66;237.60;7.07 %;;31;111.60;;35;126.00
SIÉU SAO 250g;0;11;170.50;5.08 %;;0;0.00;;11;170.50
CUERPO 1000g;0;4;144.00;4.29 %;;0;0.00;;4;144.00
MUYU 250g;0;13;136.50;4.06 %;;1;10.50;;12;126.00
Flat White;0;31;124.00;3.69 %;;12;48.00;;19;76.00
Hafer Flat White;0;27;108.00;3.22 %;;11;44.00;;16;64.00
Caffé Latte;0;27;102.60;3.05 %;;8;30.40;;19;72.20
Cappuccino groß;0;24;100.80;3.00 %;;10;42.00;;14;58.80
MUYU 500g;0;5;100.00;2.98 %;;0;0.00;;5;100.00
CUERPO 250g;0;9;94.50;2.81 %;;1;10.50;;8;84.00
LOS PLACERES 250g;0;7;87.50;2.60 %;;0;0.00;;7;87.50
FAZENDA IP 250g;0;8;84.00;2.50 %;;0;0.00;;8;84.00
Kanelbullar;0;26;83.20;2.48 %;;16;51.20;;10;32.00
Filterkaffee;0;26;78.00;2.32 %;;14;42.00;;12;36.00
Hafer Cappuccino Groß;0;18;75.60;2.25 %;;4;16.80;;14;58.80
Kuchen Maple Carrot;0;15;72.00;2.14 %;;9;43.20;;6;28.80
Kakao normal gr;0;17;71.40;2.13 %;;3;12.60;;14;58.80
CUERPO 500g;0;3;60.00;1.79 %;;0;0.00;;3;60.00
Americano;0;20;60.00;1.79 %;;8;24.00;;12;36.00
Espresso Doppio;0;20;56.00;1.67 %;;7;19.60;;13;36.40
RUMUKIA 250g;0;4;54.00;1.61 %;;0;0.00;;4;54.00
L.A.C. Red;0;3;52.50;1.56 %;;0;0.00;;3;52.50
Banana Bread;0;13;49.40;1.47 %;;6;22.80;;7;26.60
Chai Oat;0;11;48.40;1.44 %;;5;22.00;;6;26.40
LOS PLACERES 500g;0;2;48.00;1.43 %;;0;0.00;;2;48.00
Pain au Chocolat;0;15;42.00;1.25 %;;0;0.00;;15;42.00
10€ Gutschein;0;4;40.00;1.19 %;;1;10.00;;3;30.00
MUYU 1000g;0;1;36.00;1.07 %;;1;36.00;;0;0.00
Hand Brew;0;7;33.60;1.00 %;;1;4.80;;6;28.80
Croissant;0;14;33.60;1.00 %;;1;2.40;;13;31.20
NY cheesecake;0;7;33.60;1.00 %;;4;19.20;;3;14.40
ReCup ausgeben ´;0;33;33.00;0.98 %;;0;0.00;;33;33.00
Espresso Single;0;13;31.20;0.93 %;;3;7.20;;10;24.00
DOI PANGKHON;0;2;31.00;0.92 %;;0;0.00;;2;31.00
Cookie;0;10;28.00;0.83 %;;2;5.60;;8;22.40
ReCup ausgeben*;0;27;27.00;0.80 %;;0;0.00;;27;27.00
Caffé Latte doppelt;0;6;25.20;0.75 %;;3;12.60;;3;12.60
Sandwich Vegan;0;5;24.00;0.71 %;;0;0.00;;5;24.00
Sandwich Vegetarisch;0;5;24.00;0.71 %;;0;0.00;;5;24.00
EL CARMEN Decaf 250g;0;2;23.00;0.68 %;;1;11.50;;1;11.50
Lemon Poppy Cake;0;6;22.80;0.68 %;;2;7.60;;4;15.20
EL CARMEN Decaf 500g;0;1;22.00;0.65 %;;0;0.00;;1;22.00
Ingwer Minze;0;5;21.00;0.63 %;;1;4.20;;4;16.80
Kinto coffee server 600ml;0;1;17.00;0.51 %;;0;0.00;;1;17.00
Hafer Kakao Groß;0;4;16.80;0.50 %;;2;8.40;;2;8.40
Granola;0;4;16.80;0.50 %;;1;4.20;;3;12.60
Americano groß;0;5;16.00;0.48 %;;2;6.40;;3;9.60
Hafer Caffè Latte;0;4;15.20;0.45 %;;1;3.80;;3;11.40
5€ Gutschein;0;3;15.00;0.45 %;;1;5.00;;2;10.00
BREW Buch;0;1;14.50;0.43 %;;0;0.00;;1;14.50
MUYU BOTTLE 365;0;1;14.50;0.43 %;;0;0.00;;1;14.50
Hafer Flat White auf Eis;0;3;13.20;0.39 %;;0;0.00;;3;13.20
Espresso Macchiato;0;5;13.00;0.39 %;;0;0.00;;5;13.00
TASCHE;0;1;9.50;0.28 %;;0;0.00;;1;9.50
Lemon Verbena Tea;0;2;9.20;0.27 %;;2;9.20;;0;0.00
ReCup ausgeben_;0;9;9.00;0.27 %;;0;0.00;;9;9.00
Chai Oat *;0;2;8.80;0.26 %;;0;0.00;;2;8.80
Cá Phê Sūa dá;0;2;8.40;0.25 %;;0;0.00;;2;8.40
Espresso Doppio Macchiato;0;2;6.40;0.19 %;;2;6.40;;0;0.00
Hafer Espresso Macchiato doppelt;0;2;6.40;0.19 %;;1;3.20;;1;3.20
Milchschaum Kids;0;12;6.00;0.18 %;;2;1.00;;10;5.00
Fritz Cola;0;2;5.60;0.17 %;;1;2.80;;1;2.80
ReCup ausgeben **;0;5;5.00;0.15 %;;0;0.00;;5;5.00
Green Tea;0;1;4.60;0.14 %;;0;0.00;;1;4.60
Decaf Caffè Latte;0;1;3.80;0.11 %;;1;3.80;;0;0.00
Decaf Cappuccino;0;1;3.60;0.11 %;;0;0.00;;1;3.60
Mineralwasser Sprudel;0;1;3.00;0.09 %;;0;0.00;;1;3.00
Decaf Americano;0;1;3.00;0.09 %;;1;3.00;;0;0.00
Hafer Espresso Macchiato;0;1;2.60;0.08 %;;1;2.60;;0;0.00
Extra Shot;0;1;0.70;0.02 %;;0;0.00;;1;0.70
ReCup annehmen **;0;5;-5.00;-0.15 %;;0;0.00;;5;-5.00
ReCup annehmen;0;7;-7.00;-0.21 %;;0;0.00;;7;-7.00
ReCup annehmen*;0;10;-10.00;-0.30 %;;3;-3.00;;7;-7.00
ReCup annehmen ´;0;20;-20.00;-0.60 %;;2;-2.00;;18;-18.00
;;;;
